benchmark,model,acq,mean
Branin-Fav,Adapter,greedy,0.7971958884210049
Branin-Fav,Adapter,ei,0.7578501684616663
Branin-Fav,Adapter,pi,1.0497814269900974
Branin-Fav,Adapter,ucb,0.7302101539468462
Branin-Fav,Adapter,mes,0.765077467599296
Branin-Fav,Adapter,ts,0.4722824895139519
Branin-Fav,Curriculum,greedy,0.1348100299802386
Branin-Fav,Curriculum,ei,0.437331370506286
Branin-Fav,Curriculum,pi,0.6501275791385525
Branin-Fav,Curriculum,ucb,0.278081712959462
Branin-Fav,Curriculum,mes,0.1465838555944239
Branin-Fav,Curriculum,ts,0.4457325535332101
Branin-Fav,DNGO-Gradient,greedy,0.17902822235540788
Branin-Fav,DNGO-Gradient,ei,0.7411190109468565
Branin-Fav,DNGO-Gradient,pi,0.8961445202760705
Branin-Fav,DNGO-Gradient,ucb,0.5225543020635383
Branin-Fav,DNGO-Gradient,mes,0.4003326847447496
Branin-Fav,DNGO-Gradient,ts,0.28307318783453683
Branin-Fav,DNGO-Joint,greedy,0.27477428186369185
Branin-Fav,DNGO-Joint,ei,0.8872669052044388
Branin-Fav,DNGO-Joint,pi,1.0145025403853285
Branin-Fav,DNGO-Joint,ucb,0.5912333532555722
Branin-Fav,DNGO-Joint,mes,0.7924897613194842
Branin-Fav,DNGO-Joint,ts,0.7891936020440344
Branin-Fav,Domain Adaptation (MMD),greedy,0.27414497456780834
Branin-Fav,Domain Adaptation (MMD),ei,0.22302429843627994
Branin-Fav,Domain Adaptation (MMD),pi,0.39294968066714525
Branin-Fav,Domain Adaptation (MMD),ucb,0.09614676235456684
Branin-Fav,Domain Adaptation (MMD),mes,0.04239202934081791
Branin-Fav,Domain Adaptation (MMD),ts,0.28856989150602846
Branin-Fav,Knowledge Distillation,greedy,0.20292609576700218
Branin-Fav,Knowledge Distillation,ei,0.2636072966709643
Branin-Fav,Knowledge Distillation,pi,0.2847895124877972
Branin-Fav,Knowledge Distillation,ucb,0.19105357885095864
Branin-Fav,Knowledge Distillation,mes,0.23243964234832334
Branin-Fav,Knowledge Distillation,ts,0.299462173131228
Branin-Fav,Progressive,greedy,0.5596397482848273
Branin-Fav,Progressive,ei,1.2243511546010033
Branin-Fav,Progressive,pi,1.3570871307745234
Branin-Fav,Progressive,ucb,1.269811015523135
Branin-Fav,Progressive,mes,1.0129032724540437
Branin-Fav,Progressive,ts,2.0482019207821875
Branin-Fav,Pseudo-Labeling,greedy,0.24654933834990303
Branin-Fav,Pseudo-Labeling,ei,0.3799606230684834
Branin-Fav,Pseudo-Labeling,pi,0.35959366714467544
Branin-Fav,Pseudo-Labeling,ucb,0.32374501193136324
