benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
COFs,MFGP,46,2.768421691579954,15,230,-15.766064256252305,1156.949,1.911543793288604,2.080319589532976,0.0864462809917355,2.156065970549131,1.7712967005001887,363
COFs,MFGP,51,11.966908014866847,15,230,-6.567577932965412,1214.611,1.9698477328236068,2.093550143549576,0.0988980716253443,1.9211034034752428,1.700776236310107,363
COFs,MFGP,44,0.0,15,230,-18.53448594783226,1233.553,1.834763803559323,2.053344322764843,0.0822314049586776,2.188757987251666,1.6704811475350028,363
COFs,MFGP,48,7.3926220436067585,15,230,-11.1418639042255,1335.262,1.877426832197562,2.053063272030534,0.0577961432506887,1.9117683858426155,1.5958037455453438,363
COFs,MFGP,43,2.768421691579954,15,230,-15.766064256252305,1344.66,2.178072750152398,2.193857119208981,0.1226446280991735,2.0656048732303307,2.0270701913886087,363
COFs,MFGP,50,2.768421691579954,15,230,-15.766064256252305,1346.553,2.558696179019463,2.4363456484208688,0.1920936639118457,2.0095511023320083,2.4419596242575667,363
COFs,MFGP,45,2.768421691579954,15,230,-15.766064256252305,1376.156,1.9957267936927967,2.1155581085474364,0.0927548209366391,2.168537384600224,1.8618673742388732,363
COFs,MFGP,49,7.949548815091578,15,230,-10.58493713274068,1435.578,1.8162093938849568,2.032310486891273,0.0831404958677685,2.107637574074281,1.6926333077850368,363
COFs,MFGP,47,11.740908342088623,15,230,-6.793577605743637,2022.55,1.818466496903816,2.028181625472276,0.0833333333333333,2.063088834965197,1.6771952626113131,363
COFs,MFGP,42,10.90904598655704,15,230,-7.625439961275218,2190.926,1.5019635652988832,1.923591377483302,0.1037741046831956,2.145516529579631,1.4003183320496808,363
COFs,Sequential,47,1.6834527522225675,15,230,-16.85103319560969,6432.325,1.9286018777607987,2.1745391341864786,0.2732782369146005,2.760013855522266,8.143889701301326,363
COFs,Progressive,43,2.768421691579954,15,230,-15.766064256252305,6843.586,1.8608322710949,2.11767151094374,0.2564738292011019,2.568161027848264,1.866123638754944,363
COFs,Sequential,42,0.0,15,230,-18.53448594783226,9254.325,1.7211799609994074,2.186789927303725,0.2911845730027548,3.025196256437109,3.785559629048694,363
COFs,Progressive,42,2.768421691579954,15,230,-15.766064256252305,7817.9,1.84741803370738,2.11510033458414,0.2385674931129476,2.558560466796866,2.129695214101829,363
COFs,Sequential,48,0.0,15,230,-18.53448594783226,8732.481,1.7669679457169003,2.218186390676932,0.2823691460055097,3.1270357079570097,3.2806250712791587,363
COFs,Sequential,50,0.0,15,230,-18.53448594783226,9019.184,1.8150295784945685,2.1991679278043703,0.2895316804407714,2.9982748039651685,4.740233754895975,363
COFs,Sequential,49,0.0,15,230,-18.53448594783226,9143.299,1.7499518185151233,2.214563652813597,0.290633608815427,3.131190898500197,9.480528324507338,363
COFs,Sequential,44,1.6834527522225675,15,230,-16.85103319560969,9361.711,2.101811497278393,2.222211753493291,0.250137741046832,2.805912291192964,6.504673197769317,363
COFs,Sequential,51,0.0,15,230,-18.53448594783226,9359.455,1.8209857170595265,2.1911854453950936,0.2815426997245179,3.001336167038703,3.508569340576212,363
COFs,Sequential,43,0.0,15,230,-18.53448594783226,10889.978,1.7152437890773091,2.1864692129984378,0.2931129476584022,3.025923066657532,5.094072889968493,363
COFs,Sequential,45,0.0,15,230,-18.53448594783226,9892.196,1.8230579166110288,2.1985110788933797,0.2884297520661157,2.988641305471869,7.117753421727158,363
COFs,Sequential,46,0.0,15,230,-18.53448594783226,10580.955,1.8582333935727344,2.2152182190496728,0.2787878787878788,3.0341079048608104,5.34612251247463,363
COFs,Progressive,44,6.040486528414251,15,230,-12.493999419418008,6476.153,1.895380798530469,2.162853037966737,0.2393939393939394,2.7439110857001805,2.0441020521997277,363
COFs,Progressive,50,1.6834527522225675,15,230,-16.85103319560969,5614.111,1.8553413042411528,2.1571771626505707,0.2539944903581267,2.751080823115472,2.107013495106543,363
COFs,Progressive,45,2.768421691579954,15,230,-15.766064256252305,7094.588,1.829137273338524,2.1105787878911184,0.2432506887052342,2.569018659194451,1.8907174904995356,363
COFs,Progressive,47,0.0,15,230,-18.53448594783226,6480.045,1.7491639498660134,2.162003542875374,0.2636363636363636,2.889834432173154,1.7009104077950088,363
COFs,Progressive,48,1.6834527522225675,15,230,-16.85103319560969,8150.195,1.879111919472948,2.188758236354704,0.2360881542699724,2.885055533807611,1.8241246243681168,363
COFs,Progressive,46,2.768421691579954,15,230,-15.766064256252305,9004.958,1.8433142588804357,2.1146945546476865,0.2465564738292011,2.5658692025510232,1.9457590977869603,363
COFs,Curriculum,42,1.6834527522225675,15,230,-16.85103319560969,7899.811,1.9937814868758168,2.182643470052731,0.265840220385675,2.7055628057600485,4.757918901060408,363
COFs,Progressive,49,2.768421691579954,15,230,-15.766064256252305,8604.079,1.9327144762079456,2.139902837825455,0.2327823691460055,2.5685611209084622,2.1652057700551723,363
COFs,Progressive,51,2.768421691579954,15,230,-15.766064256252305,296.858,1.8816247819672616,2.1259451944024135,0.24931129476584024,2.571481462778808,2.4035577327784154,363
COFs,Curriculum,43,0.0,15,230,-18.53448594783226,315.01,1.7301004239316196,2.1841992201192815,0.2922865013774105,3.0063348334231708,5.797972194963915,363
COFs,Curriculum,51,0.0,15,230,-18.53448594783226,319.277,1.859533898694351,2.197946375496051,0.2801652892561984,3.000631834049494,2.9625199079599382,363
COFs,Curriculum,49,0.0,15,230,-18.53448594783226,319.409,1.7173167072967035,2.2172295063896947,0.2958677685950414,3.1697724425215266,4.103749850115319,363
COFs,Curriculum,50,1.6834527522225677,15,230,-16.85103319560969,320.63,1.8450667914332388,2.1572278093710824,0.28319559228650143,2.768375994349466,3.922628584238274,363
COFs,Curriculum,47,0.0,15,230,-18.53448594783226,321.262,1.8146766512562125,2.1800975659566912,0.2887052341597796,2.9132209506063496,4.909654228244549,363
COFs,Curriculum,45,1.6834527522225677,15,230,-16.85103319560969,325.418,1.9036020890364063,2.1676340709305375,0.2716253443526171,2.7570532944134807,5.165880357155382,363
COFs,Curriculum,48,0.0,15,230,-18.53448594783226,326.009,1.7268389187035167,2.221952612533057,0.28815426997245186,3.175609839417078,4.4433903611573715,363
COFs,Curriculum,46,1.6834527522225677,15,230,-16.85103319560969,327.985,2.0261381038420034,2.1988966341642247,0.2550964187327824,2.758091152652721,4.146148042442712,363
