benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,fit_flops,predict_flops,ok
Branin-Fav,MFGP,42,0.1,2,26,28,2500,2,14626304,354072544,1
Branin-Fav,MFGP,42,0.3,7,78,85,2500,2,306773500,1099165600,1
Branin-Fav,MFGP,42,0.5,12,130,142,2500,2,1138177144,1876852624,1
Branin-Fav,MFGP,42,0.7,17,181,198,2500,2,3199752072,2672637264,1
Branin-Fav,MFGP,42,1.0,24,259,283,2500,2,5180156520,3940641424,1
Branin-Fav,MFGP,43,0.1,2,26,28,2500,2,11219040,354072544,1
Branin-Fav,MFGP,43,0.3,7,78,85,2500,2,214582500,1099165600,1
Branin-Fav,MFGP,43,0.5,12,130,142,2500,2,2040637128,1876852624,1
Branin-Fav,MFGP,43,0.7,17,181,198,2500,2,2989932264,2672637264,1
Branin-Fav,MFGP,43,1.0,24,259,283,2500,2,11840357760,3940641424,1
Branin-Fav,NARGP,42,0.1,2,26,28,2500,2,4546488,353540040,1
Branin-Fav,NARGP,42,0.3,7,78,85,2500,2,129810234,1093590490,1
Branin-Fav,NARGP,42,0.5,12,130,142,2500,2,426597936,1860931440,1
Branin-Fav,NARGP,42,0.7,17,181,198,2500,2,892915858,2641242890,1
Branin-Fav,NARGP,42,1.0,24,259,283,2500,2,7926393384,3877205760,1
Branin-Fav,NARGP,43,0.1,2,26,28,2500,2,2968824,353540040,1
Branin-Fav,NARGP,43,0.3,7,78,85,2500,2,89963644,1093590490,1
Branin-Fav,NARGP,43,0.5,12,130,142,2500,2,363675032,1860931440,1
Branin-Fav,NARGP,43,0.7,17,181,198,2500,2,1096200776,2641242890,1
Branin-Fav,NARGP,43,1.0,24,259,283,2500,2,1722604264,3877205760,1
Branin-Fav,DKL Multi-Fidelity,42,0.1,2,26,28,2500,2,504124000,632650960,1
Branin-Fav,DKL Multi-Fidelity,42,0.3,7,78,85,2500,2,2354002000,1358548696,1
Branin-Fav,DKL Multi-Fidelity,42,0.5,12,130,142,2500,2,6231256000,2084966272,1
Branin-Fav,DKL Multi-Fidelity,42,0.7,17,181,198,2500,2,13090584000,2799145920,1
Branin-Fav,DKL Multi-Fidelity,42,1.0,24,259,283,2500,2,31651864000,3884127400,1
Branin-Fav,DKL Multi-Fidelity,43,0.1,2,26,28,2500,2,504124000,632650960,1
Branin-Fav,DKL Multi-Fidelity,43,0.3,7,78,85,2500,2,2354002000,1358548696,1
Branin-Fav,DKL Multi-Fidelity,43,0.5,12,130,142,2500,2,6231256000,2084966272,1
Branin-Fav,DKL Multi-Fidelity,43,0.7,17,181,198,2500,2,13090584000,2799145920,1
Branin-Fav,DKL Multi-Fidelity,43,1.0,24,259,283,2500,2,31651864000,3884127400,1
Branin-Fav,Sparse MFGP,42,0.1,2,26,28,2500,2,310140000,84689640,1
Branin-Fav,Sparse MFGP,42,0.3,7,78,85,2500,2,7797147000,152882388,1
Branin-Fav,Sparse MFGP,42,0.5,12,130,142,2500,2,17484444000,181640808,1
Branin-Fav,Sparse MFGP,42,0.7,17,181,198,2500,2,24085052000,181640808,1
