benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
HOPV15,NARGP,45,5.459999999999999,15,149,-4.74,57.217,0
HOPV15,NARGP,43,5.319999999999999,15,149,-4.88,59.363,0
HOPV15,NARGP,42,1.5999999999999996,15,149,-8.6,62.252,0
HOPV15,NARGP,46,2.469999999999999,15,149,-7.73,61.689,0
HOPV15,NARGP,44,0.0,15,149,-10.2,62.541,0
HOPV15,NARGP,47,2.6999999999999993,15,149,-7.5,67.191,0
HOPV15,NARGP,48,4.759999999999999,15,149,-5.44,47.518,0
HOPV15,NARGP,51,3.499999999999999,15,149,-6.7,52.411,0
HOPV15,NARGP,52,3.499999999999999,15,149,-6.7,53.084,0
HOPV15,NARGP,50,3.2799999999999994,15,149,-6.92,60.314,0
HOPV15,NARGP,53,3.789999999999999,15,149,-6.41,60.369,0
HOPV15,NARGP,49,4.039999999999999,15,149,-6.16,69.292,0
HOPV15,NARGP,54,5.459999999999999,15,149,-4.74,53.331,0
HOPV15,NARGP,55,0.0,15,149,-10.2,61.332,0
HOPV15,NARGP,57,1.5999999999999996,15,149,-8.6,59.146,0
HOPV15,NARGP,56,2.6999999999999993,15,149,-7.5,66.12,0
HOPV15,NARGP,58,3.2799999999999994,15,149,-6.92,56.448,0
HOPV15,NARGP,59,2.6099999999999994,15,149,-7.59,56.035,0
HOPV15,NARGP,60,0.0,15,149,-10.2,61.029,0
HOPV15,NARGP,61,3.2799999999999994,15,149,-6.92,59.234,0
HOPV15,DKL Multi-Fidelity,43,3.5299999999999994,15,149,-6.67,632.588,0
HOPV15,DKL Multi-Fidelity,42,4.199999999999999,15,149,-6.0,634.027,0
HOPV15,DKL Multi-Fidelity,44,4.02,15,149,-6.18,631.426,0
HOPV15,DKL Multi-Fidelity,45,3.8999999999999995,15,149,-6.3,631.539,0
HOPV15,DKL Multi-Fidelity,46,3.789999999999999,15,149,-6.41,630.759,0
HOPV15,DKL Multi-Fidelity,47,1.5999999999999996,15,149,-8.6,630.605,0
HOPV15,DKL Multi-Fidelity,48,0.0,15,149,-10.2,632.776,0
HOPV15,DKL Multi-Fidelity,50,2.129999999999999,15,149,-8.07,632.706,0
HOPV15,DKL Multi-Fidelity,49,3.5999999999999996,15,149,-6.6,633.356,0
HOPV15,DKL Multi-Fidelity,51,3.499999999999999,15,149,-6.7,632.637,0
HOPV15,DKL Multi-Fidelity,52,3.499999999999999,15,149,-6.7,632.594,0
HOPV15,DKL Multi-Fidelity,53,3.2799999999999994,15,149,-6.92,632.352,0
HOPV15,DKL Multi-Fidelity,54,0.0,15,149,-10.2,632.776,0
HOPV15,DKL Multi-Fidelity,55,4.039999999999999,15,149,-6.16,632.934,0
HOPV15,DKL Multi-Fidelity,57,3.499999999999999,15,149,-6.7,632.703,0
HOPV15,DKL Multi-Fidelity,56,1.5999999999999996,15,149,-8.6,634.104,0
HOPV15,DKL Multi-Fidelity,58,3.789999999999999,15,149,-6.41,633.429,0
HOPV15,DKL Multi-Fidelity,59,0.0,15,149,-10.2,632.938,0
HOPV15,DKL Multi-Fidelity,60,3.789999999999999,15,149,-6.41,663.473,0
HOPV15,DKL Multi-Fidelity,61,2.469999999999999,15,149,-7.73,663.67,0
HOPV15,Sparse MFGP,42,3.5299999999999994,15,149,-6.67,1034.903,0
HOPV15,Sparse MFGP,43,3.5999999999999996,15,149,-6.6,1037.463,0
HOPV15,Sparse MFGP,44,1.5999999999999996,15,149,-8.6,1038.637,0
HOPV15,Sparse MFGP,45,4.169999999999999,15,149,-6.03,1040.714,0
HOPV15,Sparse MFGP,46,0.0,15,149,-10.2,1072.023,0
HOPV15,Sparse MFGP,47,0.0,15,149,-10.2,1072.837,0
HOPV15,Sparse MFGP,48,0.0,15,149,-10.2,1074.055,0
HOPV15,Sparse MFGP,49,3.999999999999999,15,149,-6.2,1075.375,0
HOPV15,Sparse MFGP,50,3.789999999999999,15,149,-6.41,1072.149,0
HOPV15,Sparse MFGP,51,3.499999999999999,15,149,-6.7,1073.731,0
HOPV15,Sparse MFGP,52,3.499999999999999,15,149,-6.7,1074.253,0
HOPV15,Sparse MFGP,53,0.0,15,149,-10.2,1074.038,0
HOPV15,Sparse MFGP,54,4.6,15,149,-5.6,1073.621,0
HOPV15,Sparse MFGP,55,0.0,15,149,-10.2,1075.29,0
HOPV15,Sparse MFGP,56,3.5999999999999996,15,149,-6.6,1072.602,0
HOPV15,Sparse MFGP,57,3.5999999999999996,15,149,-6.6,1074.387,0
