benchmark,model,seed,budget,regret
HOPV15,NARGP,45,3.5,6.85
HOPV15,NARGP,45,3.6,6.85
HOPV15,NARGP,45,3.7,6.85
HOPV15,NARGP,45,3.8,6.85
HOPV15,NARGP,45,3.9,6.85
HOPV15,NARGP,45,4.0,6.85
HOPV15,NARGP,45,4.1,6.85
HOPV15,NARGP,45,4.2,6.85
HOPV15,NARGP,45,4.3,6.85
HOPV15,NARGP,45,4.4,6.85
HOPV15,NARGP,45,4.5,6.85
HOPV15,NARGP,45,5.5,6.14
HOPV15,NARGP,45,5.6,6.14
HOPV15,NARGP,45,5.7,6.14
HOPV15,NARGP,45,5.8,6.14
HOPV15,NARGP,45,5.9,6.14
HOPV15,NARGP,45,6.0,6.14
HOPV15,NARGP,45,6.1,6.14
HOPV15,NARGP,45,6.2,6.14
HOPV15,NARGP,45,6.3,6.14
HOPV15,NARGP,45,6.4,6.14
HOPV15,NARGP,45,6.5,6.14
HOPV15,NARGP,45,7.5,5.459999999999999
HOPV15,NARGP,45,7.6,5.459999999999999
HOPV15,NARGP,45,7.7,5.459999999999999
HOPV15,NARGP,45,7.8,5.459999999999999
HOPV15,NARGP,45,7.9,5.459999999999999
HOPV15,NARGP,45,8.0,5.459999999999999
HOPV15,NARGP,45,8.1,5.459999999999999
HOPV15,NARGP,45,8.2,5.459999999999999
HOPV15,NARGP,45,8.3,5.459999999999999
HOPV15,NARGP,45,8.4,5.459999999999999
HOPV15,NARGP,45,8.5,5.459999999999999
HOPV15,NARGP,45,9.5,5.459999999999999
HOPV15,NARGP,45,9.6,5.459999999999999
HOPV15,NARGP,45,9.7,5.459999999999999
HOPV15,NARGP,45,9.8,5.459999999999999
HOPV15,NARGP,45,9.9,5.459999999999999
HOPV15,NARGP,45,10.0,5.459999999999999
HOPV15,NARGP,45,10.1,5.459999999999999
HOPV15,NARGP,45,10.2,5.459999999999999
HOPV15,NARGP,45,10.3,5.459999999999999
HOPV15,NARGP,45,10.4,5.459999999999999
HOPV15,NARGP,45,10.5,5.459999999999999
HOPV15,NARGP,45,11.5,5.459999999999999
HOPV15,NARGP,45,11.6,5.459999999999999
HOPV15,NARGP,45,11.7,5.459999999999999
HOPV15,NARGP,45,11.8,5.459999999999999
HOPV15,NARGP,45,11.9,5.459999999999999
HOPV15,NARGP,45,12.0,5.459999999999999
HOPV15,NARGP,45,12.1,5.459999999999999
HOPV15,NARGP,45,12.2,5.459999999999999
HOPV15,NARGP,45,12.3,5.459999999999999
HOPV15,NARGP,45,12.4,5.459999999999999
HOPV15,NARGP,45,12.5,5.459999999999999
HOPV15,NARGP,45,13.5,5.459999999999999
HOPV15,NARGP,45,13.6,5.459999999999999
HOPV15,NARGP,45,13.7,5.459999999999999
HOPV15,NARGP,45,13.8,5.459999999999999
HOPV15,NARGP,45,13.9,5.459999999999999
HOPV15,NARGP,45,14.0,5.459999999999999
HOPV15,NARGP,45,14.1,5.459999999999999
