benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
Branin-Fav,Adapter,42,0.0972357826887994,24,259,0.4951227826887994,322.967,0
Branin-Fav,Adapter,43,0.3876112505994599,24,259,0.7854982505994599,318.569,0
Branin-Fav,Adapter,44,1.518304433565862,24,259,1.9161914335658616,325.751,0
Branin-Fav,Adapter,45,0.103397520424047,24,259,0.501284520424047,323.809,0
Branin-Fav,Adapter,46,0.0748038021785529,24,259,0.4726908021785529,303.253,0
Branin-Fav,Adapter,47,0.0066056977871608,24,259,0.4044926977871608,303.491,0
Branin-Fav,Adapter,48,1.2712552403386868,24,259,1.6691422403386866,316.33,0
Branin-Fav,Adapter,49,0.0066056977871608,24,259,0.4044926977871608,315.894,0
Branin-Fav,Adapter,50,0.103397520424047,24,259,0.501284520424047,313.229,0
Branin-Fav,Adapter,51,0.0972357826887994,24,259,0.4951227826887994,316.58,0
Branin-Fav,Adapter,52,1.8107413453279493,24,259,2.2086283453279494,302.453,0
Branin-Fav,Adapter,53,0.9873388055472008,24,259,1.3852258055472009,308.246,0
Branin-Fav,Adapter,54,0.5013145474907049,24,259,0.8992015474907049,309.981,0
Branin-Fav,Adapter,55,1.5212575073351404,24,259,1.9191445073351403,309.678,0
Branin-Fav,Adapter,56,0.3876112505994599,24,259,0.7854982505994599,308.945,0
Branin-Fav,Adapter,57,0.0066056977871608,24,259,0.4044926977871608,322.388,0
Branin-Fav,Adapter,58,0.5013145474907049,24,259,0.8992015474907049,315.447,0
Branin-Fav,Adapter,59,2.542943994350209,24,259,2.9408309943502084,308.448,0
Branin-Fav,Adapter,60,0.3876112505994599,24,259,0.7854982505994599,291.236,0
Branin-Fav,Adapter,61,2.8438116942227607,24,259,3.2416986942227606,318.812,0
Branin-Fav,Curriculum,42,0.467988848429873,24,259,0.865875848429873,337.972,0
Branin-Fav,Curriculum,43,1.518304433565862,24,259,1.9161914335658616,332.426,0
Branin-Fav,Curriculum,44,0.3876112505994599,24,259,0.7854982505994599,339.584,0
Branin-Fav,Curriculum,45,0.103397520424047,24,259,0.501284520424047,343.368,0
Branin-Fav,Curriculum,46,0.0066056977871608,24,259,0.4044926977871608,336.234,0
Branin-Fav,Curriculum,47,0.5013145474907049,24,259,0.8992015474907049,339.311,0
Branin-Fav,Curriculum,48,0.3474885137832534,24,259,0.7453755137832534,348.597,0
Branin-Fav,Curriculum,49,0.3876112505994599,24,259,0.7854982505994599,341.18,0
Branin-Fav,Curriculum,50,0.0066056977871608,24,259,0.4044926977871608,346.163,0
Branin-Fav,Curriculum,51,1.3001905858842262,24,259,1.698077585884226,344.083,0
Branin-Fav,Curriculum,52,0.0066056977871608,24,259,0.4044926977871608,354.539,0
Branin-Fav,Curriculum,53,0.9873388055472008,24,259,1.3852258055472009,347.117,0
Branin-Fav,Curriculum,54,0.8895739477111658,24,259,1.2874609477111658,344.259,0
Branin-Fav,Curriculum,55,0.3876112505994599,24,259,0.7854982505994599,357.246,0
Branin-Fav,Curriculum,56,0.8407616751076529,24,259,1.2386486751076529,344.171,0
Branin-Fav,Curriculum,57,0.103397520424047,24,259,0.501284520424047,348.402,0
Branin-Fav,Curriculum,58,0.3876112505994599,24,259,0.7854982505994599,344.937,0
Branin-Fav,Curriculum,59,0.0066056977871608,24,259,0.4044926977871608,327.945,0
Branin-Fav,Curriculum,60,0.103397520424047,24,259,0.501284520424047,335.624,0
Branin-Fav,Curriculum,61,0.0066056977871608,24,259,0.4044926977871608,366.477,0
Branin-Fav,DNGO-Gradient,42,1.518304433565862,24,259,1.9161914335658616,441.365,0
Branin-Fav,DNGO-Gradient,43,0.8592468883133976,24,259,1.2571338883133976,446.282,0
Branin-Fav,DNGO-Gradient,44,0.7759110906150174,24,259,1.1737980906150174,432.787,0
Branin-Fav,DNGO-Gradient,45,3.4328946864529035,24,259,3.830781686452904,437.937,0
Branin-Fav,DNGO-Gradient,46,0.0972357826887994,24,259,0.4951227826887994,445.095,0
Branin-Fav,DNGO-Gradient,47,0.467988848429873,24,259,0.865875848429873,433.861,0
