benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
Branin-Fav,MFGP,42,0.0523754278760194,24,259,0.4502624278760194,672.248
Branin-Fav,MFGP,43,0.2831528012458929,24,259,0.6810398012458929,621.214
Branin-Fav,MFGP,44,0.1600559232407591,24,259,0.5579429232407591,675.397
Branin-Fav,MFGP,45,0.3867984555530669,24,259,0.7846854555530669,813.669
Branin-Fav,MFGP,46,0.1454692827993885,24,259,0.5433562827993885,688.394
Branin-Fav,MFGP,47,0.467988848429873,24,259,0.865875848429873,677.772
Branin-Fav,MFGP,48,0.1530864037518488,24,259,0.5509734037518488,577.53
Branin-Fav,MFGP,49,0.2369742815964678,24,259,0.6348612815964678,550.863
Branin-Fav,MFGP,50,1.2634069122796443,24,259,1.6612939122796444,486.269
Branin-Fav,MFGP,51,0.0523754278760194,24,259,0.4502624278760194,553.902
Branin-Fav,MFGP,52,0.1454692827993885,24,259,0.5433562827993885,483.958
Branin-Fav,MFGP,53,0.0748038021785529,24,259,0.4726908021785529,538.397
Branin-Fav,MFGP,54,0.8407616751076529,24,259,1.2386486751076529,515.982
Branin-Fav,MFGP,55,0.0066056977871608,24,259,0.4044926977871608,485.311
Branin-Fav,MFGP,56,0.103397520424047,24,259,0.501284520424047,495.872
Branin-Fav,MFGP,57,0.0748038021785529,24,259,0.4726908021785529,518.148
Branin-Fav,MFGP,58,0.4616513166890009,24,259,0.8595383166890009,474.138
Branin-Fav,MFGP,59,0.0090199620446708,24,259,0.4069069620446708,555.028
Branin-Fav,MFGP,60,0.1454692827993885,24,259,0.5433562827993885,495.612
Branin-Fav,MFGP,61,0.103397520424047,24,259,0.501284520424047,395.851
Branin-Unfav,MFGP,42,0.0090199620446708,24,52,0.4069069620446708,126.682
Branin-Unfav,MFGP,43,0.1600559232407591,24,52,0.5579429232407591,142.515
Branin-Unfav,MFGP,44,0.1530864037518488,24,52,0.5509734037518488,156.309
Branin-Unfav,MFGP,45,0.1530864037518488,24,52,0.5509734037518488,157.266
Branin-Unfav,MFGP,46,0.0523754278760194,24,52,0.4502624278760194,115.009
Branin-Unfav,MFGP,47,0.0748038021785529,24,52,0.4726908021785529,131.816
Branin-Unfav,MFGP,48,0.0090199620446708,24,52,0.4069069620446708,152.466
Branin-Unfav,MFGP,49,0.1530864037518488,24,52,0.5509734037518488,151.942
Branin-Unfav,MFGP,50,0.4957385635524581,24,52,0.8936255635524581,138.54
Branin-Unfav,MFGP,51,0.2831528012458929,24,52,0.6810398012458929,189.474
Branin-Unfav,MFGP,52,0.3752877751289628,24,52,0.7731747751289628,221.165
Branin-Unfav,MFGP,53,0.1454692827993885,24,52,0.5433562827993885,201.045
Branin-Unfav,MFGP,54,0.0090199620446708,24,52,0.4069069620446708,171.188
Branin-Unfav,MFGP,55,0.0748038021785529,24,52,0.4726908021785529,163.305
Branin-Unfav,MFGP,56,0.1600559232407591,24,52,0.5579429232407591,141.952
Branin-Unfav,MFGP,57,0.0090199620446708,24,52,0.4069069620446708,154.636
Branin-Unfav,MFGP,58,0.0748038021785529,24,52,0.4726908021785529,128.462
Branin-Unfav,MFGP,59,0.0972357826887994,24,52,0.4951227826887994,156.925
Branin-Unfav,MFGP,60,0.103397520424047,24,52,0.501284520424047,184.813
Branin-Unfav,MFGP,61,0.2369742815964678,24,52,0.6348612815964678,138.518
COFs,MFGP,42,10.110864412373386,15,230,-8.423621535458873,476.1
COFs,MFGP,43,2.768421691579954,15,230,-15.766064256252305,588.178
COFs,MFGP,44,7.306579242853321,15,230,-11.227906704978938,942.877
COFs,MFGP,45,2.768421691579954,15,230,-15.766064256252305,647.73
COFs,MFGP,46,2.768421691579954,15,230,-15.766064256252305,591.742
COFs,MFGP,47,12.286313844166015,15,230,-6.248172103666243,699.975
COFs,MFGP,48,8.522637989842249,15,230,-10.01184795799001,604.394
COFs,MFGP,49,11.580077249937606,15,230,-6.954408697894654,608.91
COFs,MFGP,50,2.768421691579954,15,230,-15.766064256252305,572.983
COFs,MFGP,51,11.966908014866847,15,230,-6.567577932965412,598.094
COFs,MFGP,52,0.0,15,230,-18.53448594783226,306.113
COFs,MFGP,53,8.627397315961137,15,230,-9.907088631871122,550.749
COFs,MFGP,54,6.806015904275972,15,230,-11.728470043556287,439.054
COFs,MFGP,55,10.19479018503442,15,230,-8.339695762797838,572.393
COFs,MFGP,56,2.768421691579954,15,230,-15.766064256252305,426.272
COFs,MFGP,57,10.380263743224344,15,230,-8.154222204607914,467.94
COFs,MFGP,58,7.3926220436067585,15,230,-11.1418639042255,462.926
COFs,MFGP,59,2.768421691579954,15,230,-15.766064256252305,402.146
COFs,MFGP,60,0.1384703736115966,15,230,-18.396015574220662,313.886
COFs,MFGP,61,12.286313844166015,15,230,-6.248172103666243,419.755
FreeSolv,MFGP,42,0.27,24,259,-3.16,1049.288
FreeSolv,MFGP,43,0.8700000000000001,24,259,-2.56,1160.597
FreeSolv,MFGP,44,0.91,24,259,-2.52,1031.41
FreeSolv,MFGP,45,1.37,24,259,-2.06,825.999
FreeSolv,MFGP,46,0.9200000000000004,24,259,-2.51,635.005
FreeSolv,MFGP,47,0.9200000000000004,24,259,-2.51,716.511
FreeSolv,MFGP,48,1.37,24,259,-2.06,706.103
FreeSolv,MFGP,49,0.5500000000000003,24,259,-2.88,647.247
FreeSolv,MFGP,50,0.3000000000000002,24,259,-3.13,555.164
FreeSolv,MFGP,51,1.3200000000000005,24,259,-2.11,747.135
FreeSolv,MFGP,52,0.54,24,259,-2.89,694.606
FreeSolv,MFGP,53,0.27,24,259,-3.16,611.357
FreeSolv,MFGP,54,0.3000000000000002,24,259,-3.13,712.084
FreeSolv,MFGP,55,0.27,24,259,-3.16,755.597
FreeSolv,MFGP,56,0.5,24,259,-2.93,461.356
FreeSolv,MFGP,57,0.31,24,259,-3.12,259.559
FreeSolv,MFGP,58,0.5,24,259,-2.93,238.173
FreeSolv,MFGP,59,1.5100000000000002,24,259,-1.92,299.52
FreeSolv,MFGP,60,0.5,24,259,-2.93,238.669
FreeSolv,MFGP,61,0.5,24,259,-2.93,243.189
Park-Fav,MFGP,42,1.087312731383618e-07,23,234,1.087312731383618e-07,722.802
Park-Fav,MFGP,43,1.087312731383618e-07,23,234,1.087312731383618e-07,726.81
Park-Fav,MFGP,44,1.087312731383618e-07,22,235,1.087312731383618e-07,799.94
Park-Fav,MFGP,45,1.087312731383618e-07,23,234,1.087312731383618e-07,797.372
Park-Fav,MFGP,46,1.087312731383618e-07,23,234,1.087312731383618e-07,634.873
Park-Fav,MFGP,47,1.087312731383618e-07,23,234,1.087312731383618e-07,521.92
Park-Fav,MFGP,48,1.087312731383618e-07,23,234,1.087312731383618e-07,455.279
Park-Fav,MFGP,49,1.087312731383618e-07,22,235,1.087312731383618e-07,418.343
Park-Fav,MFGP,50,1.087312731383618e-07,22,235,1.087312731383618e-07,455.603
Park-Fav,MFGP,51,1.087312731383618e-07,23,234,1.087312731383618e-07,542.173
Park-Fav,MFGP,52,1.087312731383618e-07,23,234,1.087312731383618e-07,570.178
Park-Fav,MFGP,53,1.087312731383618e-07,23,234,1.087312731383618e-07,494.475
Park-Fav,MFGP,54,1.087312731383618e-07,23,234,1.087312731383618e-07,481.984
Park-Fav,MFGP,55,1.087312731383618e-07,23,234,1.087312731383618e-07,473.087
Park-Fav,MFGP,56,1.087312731383618e-07,23,234,1.087312731383618e-07,500.009
Park-Fav,MFGP,57,1.087312731383618e-07,23,234,1.087312731383618e-07,448.243
Park-Fav,MFGP,58,1.087312731383618e-07,23,234,1.087312731383618e-07,489.019
Park-Fav,MFGP,59,1.087312731383618e-07,23,234,1.087312731383618e-07,460.345
Park-Fav,MFGP,60,1.087312731383618e-07,23,234,1.087312731383618e-07,517.323
Park-Fav,MFGP,61,1.087312731383618e-07,23,234,1.087312731383618e-07,432.49
Park-Unfav,MFGP,42,1.137312731133618e-07,24,52,1.137312731133618e-07,189.747
Park-Unfav,MFGP,43,1.1161802446987618e-07,24,52,1.1161802446987618e-07,200.232
Park-Unfav,MFGP,44,1.5248471779533417e-07,24,52,1.5248471779533417e-07,201.783
Park-Unfav,MFGP,45,1.552276366333939e-07,24,52,1.552276366333939e-07,227.843
Park-Unfav,MFGP,46,1.1161802446987618e-07,24,52,1.1161802446987618e-07,197.712
Park-Unfav,MFGP,47,1.5248471779533417e-07,24,52,1.5248471779533417e-07,188.622
Park-Unfav,MFGP,48,1.087312731383618e-07,24,52,1.087312731383618e-07,206.113
Park-Unfav,MFGP,49,1.1161802446987618e-07,24,52,1.1161802446987618e-07,219.798
Park-Unfav,MFGP,50,1.1281375602258803e-07,24,52,1.1281375602258803e-07,211.142
Park-Unfav,MFGP,51,1.087312731383618e-07,24,52,1.087312731383618e-07,198.087
Park-Unfav,MFGP,52,1.137312731133618e-07,24,52,1.137312731133618e-07,187.402
Park-Unfav,MFGP,53,1.1161802446987618e-07,24,52,1.1161802446987618e-07,177.219
Park-Unfav,MFGP,54,1.1281375602258803e-07,24,52,1.1281375602258803e-07,206.673
Park-Unfav,MFGP,55,1.087312731383618e-07,24,52,1.087312731383618e-07,210.255
Park-Unfav,MFGP,56,1.1161802446987618e-07,24,52,1.1161802446987618e-07,197.22
Park-Unfav,MFGP,57,1.087312731383618e-07,24,52,1.087312731383618e-07,200.388
Park-Unfav,MFGP,58,1.1161802446987618e-07,24,52,1.1161802446987618e-07,169.944
Park-Unfav,MFGP,59,1.087312731383618e-07,24,52,1.087312731383618e-07,163.11
