benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
Branin-Fav,MFGP,42,0.052375427876019454,24,259,0.45026242787601944,672.248
Branin-Fav,MFGP,43,0.2831528012458929,24,259,0.6810398012458929,621.214
Branin-Fav,MFGP,44,0.16005592324075912,24,259,0.5579429232407591,675.397
Branin-Fav,MFGP,45,0.3867984555530669,24,259,0.7846854555530669,813.669
Branin-Fav,MFGP,46,0.14546928279938853,24,259,0.5433562827993885,688.394
Branin-Fav,MFGP,47,0.467988848429873,24,259,0.865875848429873,677.772
Branin-Fav,MFGP,48,0.1530864037518488,24,259,0.5509734037518488,577.53
Branin-Fav,MFGP,49,0.23697428159646783,24,259,0.6348612815964678,550.863
Branin-Fav,MFGP,50,1.2634069122796445,24,259,1.6612939122796444,486.269
Branin-Fav,MFGP,51,0.052375427876019454,24,259,0.45026242787601944,553.902
Branin-Fav,MFGP,52,0.14546928279938853,24,259,0.5433562827993885,483.958
Branin-Fav,MFGP,53,0.07480380217855298,24,259,0.47269080217855297,538.397
Branin-Fav,MFGP,54,0.8407616751076529,24,259,1.2386486751076529,515.982
Branin-Fav,MFGP,55,0.0066056977871608025,24,259,0.4044926977871608,485.311
Branin-Fav,MFGP,56,0.10339752042404704,24,259,0.501284520424047,495.872
Branin-Fav,MFGP,57,0.07480380217855298,24,259,0.47269080217855297,518.148
Branin-Fav,MFGP,58,0.46165131668900095,24,259,0.8595383166890009,474.138
Branin-Fav,MFGP,59,0.009019962044670815,24,259,0.4069069620446708,555.028
Branin-Fav,MFGP,60,0.14546928279938853,24,259,0.5433562827993885,495.612
Branin-Fav,MFGP,61,0.10339752042404704,24,259,0.501284520424047,395.851
