benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
Branin-Unfav,MFGP,42,0.009019962044670815,24,52,0.4069069620446708,126.682
Branin-Unfav,MFGP,43,0.16005592324075912,24,52,0.5579429232407591,142.515
Branin-Unfav,MFGP,44,0.1530864037518488,24,52,0.5509734037518488,156.309
Branin-Unfav,MFGP,45,0.1530864037518488,24,52,0.5509734037518488,157.266
Branin-Unfav,MFGP,46,0.052375427876019454,24,52,0.45026242787601944,115.009
Branin-Unfav,MFGP,47,0.07480380217855298,24,52,0.47269080217855297,131.816
Branin-Unfav,MFGP,48,0.009019962044670815,24,52,0.4069069620446708,152.466
Branin-Unfav,MFGP,49,0.1530864037518488,24,52,0.5509734037518488,151.942
Branin-Unfav,MFGP,50,0.49573856355245816,24,52,0.8936255635524581,138.54
Branin-Unfav,MFGP,51,0.2831528012458929,24,52,0.6810398012458929,189.474
Branin-Unfav,MFGP,52,0.37528777512896283,24,52,0.7731747751289628,221.165
Branin-Unfav,MFGP,53,0.14546928279938853,24,52,0.5433562827993885,201.045
Branin-Unfav,MFGP,54,0.009019962044670815,24,52,0.4069069620446708,171.188
Branin-Unfav,MFGP,55,0.07480380217855298,24,52,0.47269080217855297,163.305
Branin-Unfav,MFGP,56,0.16005592324075912,24,52,0.5579429232407591,141.952
Branin-Unfav,MFGP,57,0.009019962044670815,24,52,0.4069069620446708,154.636
Branin-Unfav,MFGP,58,0.07480380217855298,24,52,0.47269080217855297,128.462
Branin-Unfav,MFGP,59,0.0972357826887994,24,52,0.4951227826887994,156.925
Branin-Unfav,MFGP,60,0.10339752042404704,24,52,0.501284520424047,184.813
Branin-Unfav,MFGP,61,0.23697428159646783,24,52,0.6348612815964678,138.518
