benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
FreeSolv,MFGP,42,0.27,24,259,-3.16,1049.288
FreeSolv,MFGP,43,0.8700000000000001,24,259,-2.56,1160.597
FreeSolv,MFGP,44,0.9100000000000001,24,259,-2.52,1031.41
FreeSolv,MFGP,45,1.37,24,259,-2.06,825.999
FreeSolv,MFGP,46,0.9200000000000004,24,259,-2.51,635.005
FreeSolv,MFGP,47,0.9200000000000004,24,259,-2.51,716.511
FreeSolv,MFGP,48,1.37,24,259,-2.06,706.103
FreeSolv,MFGP,49,0.5500000000000003,24,259,-2.88,647.247
FreeSolv,MFGP,50,0.30000000000000027,24,259,-3.13,555.164
FreeSolv,MFGP,51,1.3200000000000003,24,259,-2.11,747.135
FreeSolv,MFGP,52,0.54,24,259,-2.89,694.606
FreeSolv,MFGP,53,0.27,24,259,-3.16,611.357
FreeSolv,MFGP,54,0.30000000000000027,24,259,-3.13,712.084
FreeSolv,MFGP,55,0.27,24,259,-3.16,755.597
FreeSolv,MFGP,56,0.5,24,259,-2.93,461.356
FreeSolv,MFGP,57,0.31000000000000005,24,259,-3.12,259.559
FreeSolv,MFGP,58,0.5,24,259,-2.93,238.173
FreeSolv,MFGP,59,1.5100000000000002,24,259,-1.92,299.52
FreeSolv,MFGP,60,0.5,24,259,-2.93,238.669
FreeSolv,MFGP,61,0.5,24,259,-2.93,243.189
