benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
Park-Fav,MFGP,42,1.087312731383618e-07,23,234,1.087312731383618e-07,722.802
Park-Fav,MFGP,43,1.087312731383618e-07,23,234,1.087312731383618e-07,726.81
Park-Fav,MFGP,44,1.087312731383618e-07,22,235,1.087312731383618e-07,799.94
Park-Fav,MFGP,45,1.087312731383618e-07,23,234,1.087312731383618e-07,797.372
Park-Fav,MFGP,46,1.087312731383618e-07,23,234,1.087312731383618e-07,634.873
Park-Fav,MFGP,47,1.087312731383618e-07,23,234,1.087312731383618e-07,521.92
Park-Fav,MFGP,48,1.087312731383618e-07,23,234,1.087312731383618e-07,455.279
Park-Fav,MFGP,49,1.087312731383618e-07,22,235,1.087312731383618e-07,418.343
Park-Fav,MFGP,50,1.087312731383618e-07,22,235,1.087312731383618e-07,455.603
Park-Fav,MFGP,51,1.087312731383618e-07,23,234,1.087312731383618e-07,542.173
Park-Fav,MFGP,52,1.087312731383618e-07,23,234,1.087312731383618e-07,570.178
Park-Fav,MFGP,53,1.087312731383618e-07,23,234,1.087312731383618e-07,494.475
Park-Fav,MFGP,54,1.087312731383618e-07,23,234,1.087312731383618e-07,481.984
Park-Fav,MFGP,55,1.087312731383618e-07,23,234,1.087312731383618e-07,473.087
Park-Fav,MFGP,56,1.087312731383618e-07,23,234,1.087312731383618e-07,500.009
Park-Fav,MFGP,57,1.087312731383618e-07,23,234,1.087312731383618e-07,448.243
Park-Fav,MFGP,58,1.087312731383618e-07,23,234,1.087312731383618e-07,489.019
Park-Fav,MFGP,59,1.087312731383618e-07,23,234,1.087312731383618e-07,460.345
Park-Fav,MFGP,60,1.087312731383618e-07,23,234,1.087312731383618e-07,517.323
Park-Fav,MFGP,61,1.087312731383618e-07,23,234,1.087312731383618e-07,432.49
