benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
Park-Unfav,MFGP,42,1.137312731133618e-07,24,52,1.137312731133618e-07,189.747
Park-Unfav,MFGP,43,1.1161802446987618e-07,24,52,1.1161802446987618e-07,200.232
Park-Unfav,MFGP,44,1.5248471779533417e-07,24,52,1.5248471779533417e-07,201.783
Park-Unfav,MFGP,45,1.5522763663339387e-07,24,52,1.5522763663339387e-07,227.843
Park-Unfav,MFGP,46,1.1161802446987618e-07,24,52,1.1161802446987618e-07,197.712
Park-Unfav,MFGP,47,1.5248471779533417e-07,24,52,1.5248471779533417e-07,188.622
Park-Unfav,MFGP,48,1.087312731383618e-07,24,52,1.087312731383618e-07,206.113
Park-Unfav,MFGP,49,1.1161802446987618e-07,24,52,1.1161802446987618e-07,219.798
Park-Unfav,MFGP,50,1.1281375602258802e-07,24,52,1.1281375602258802e-07,211.142
Park-Unfav,MFGP,51,1.087312731383618e-07,24,52,1.087312731383618e-07,198.087
Park-Unfav,MFGP,52,1.137312731133618e-07,24,52,1.137312731133618e-07,187.402
Park-Unfav,MFGP,53,1.1161802446987618e-07,24,52,1.1161802446987618e-07,177.219
Park-Unfav,MFGP,54,1.1281375602258802e-07,24,52,1.1281375602258802e-07,206.673
Park-Unfav,MFGP,55,1.087312731383618e-07,24,52,1.087312731383618e-07,210.255
Park-Unfav,MFGP,56,1.1161802446987618e-07,24,52,1.1161802446987618e-07,197.22
Park-Unfav,MFGP,57,1.087312731383618e-07,24,52,1.087312731383618e-07,200.388
Park-Unfav,MFGP,58,1.1161802446987618e-07,24,52,1.1161802446987618e-07,169.944
Park-Unfav,MFGP,59,1.087312731383618e-07,24,52,1.087312731383618e-07,163.11
Park-Unfav,MFGP,60,1.137312731133618e-07,24,52,1.137312731133618e-07,142.644
Park-Unfav,MFGP,61,1.5248471779533417e-07,24,52,1.5248471779533417e-07,162.848
