benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec
Polarizability,MFGP,42,0.21547314578005117,16,83,-0.7845268542199488,156.085
Polarizability,MFGP,43,0.38363171355498726,16,83,-0.6163682864450127,214.821
Polarizability,MFGP,44,0.08919437340153435,16,83,-0.9108056265984656,236.412
Polarizability,MFGP,45,0.2320971867007673,16,83,-0.7679028132992327,143.891
Polarizability,MFGP,46,0.0,16,83,-1.0,91.266
Polarizability,MFGP,47,0.2119565217391305,16,83,-0.7880434782608695,176.824
Polarizability,MFGP,48,0.0,16,83,-1.0,136.547
Polarizability,MFGP,49,0.2320971867007673,16,83,-0.7679028132992327,238.249
Polarizability,MFGP,50,0.2119565217391305,16,83,-0.7880434782608695,154.369
Polarizability,MFGP,51,0.0,16,83,-1.0,85.938
Polarizability,MFGP,52,0.0,16,83,-1.0,150.609
Polarizability,MFGP,53,0.0,16,83,-1.0,251.152
Polarizability,MFGP,54,0.0,16,83,-1.0,100.254
Polarizability,MFGP,55,0.1275575447570333,16,83,-0.8724424552429667,201.727
Polarizability,MFGP,56,0.1275575447570333,16,83,-0.8724424552429667,92.025
Polarizability,MFGP,57,0.21483375959079287,16,83,-0.7851662404092071,205.64
Polarizability,MFGP,58,0.24648337595907932,16,83,-0.7535166240409207,199.523
Polarizability,MFGP,59,0.2320971867007673,16,83,-0.7679028132992327,177.857
Polarizability,MFGP,60,0.1275575447570333,16,83,-0.8724424552429667,101.715
Polarizability,MFGP,61,0.24648337595907932,16,83,-0.7535166240409207,175.418
