benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
HOPV15,MFGP,42,2.6099999999999994,15,149,-7.59,42.814,0
HOPV15,MFGP,43,2.129999999999999,15,149,-8.07,47.076,0
HOPV15,MFGP,44,3.9,15,149,-6.3,57.976,0
HOPV15,MFGP,45,3.6,15,149,-6.6,50.274,0
HOPV15,MFGP,46,3.789999999999999,15,149,-6.41,50.699,0
HOPV15,MFGP,47,3.999999999999999,15,149,-6.2,45.524,0
HOPV15,MFGP,48,4.499999999999999,15,149,-5.7,45.499,0
HOPV15,MFGP,49,2.129999999999999,15,149,-8.07,59.169,0
HOPV15,MFGP,50,2.4099999999999997,15,149,-7.79,53.251,0
HOPV15,MFGP,51,3.28,15,149,-6.92,38.47,0
HOPV15,MFGP,52,3.1999999999999997,15,149,-7.0,66.131,0
HOPV15,MFGP,53,0.0,15,149,-10.2,46.902,0
HOPV15,MFGP,54,2.4099999999999997,15,149,-7.79,57.073,0
HOPV15,MFGP,55,2.8999999999999995,15,149,-7.3,36.294,0
HOPV15,MFGP,56,2.39,15,149,-7.81,60.105,0
HOPV15,MFGP,57,3.53,15,149,-6.67,46.166,0
HOPV15,MFGP,58,3.6,15,149,-6.6,52.81,0
HOPV15,MFGP,59,2.6999999999999997,15,149,-7.5,57.789,0
HOPV15,MFGP,60,2.8999999999999995,15,149,-7.3,36.973,0
HOPV15,MFGP,61,4.109999999999999,15,149,-6.09,59.171,0
Matbench-Gap,MFGP,42,0.02,10,199,0.02,96.948,0
Matbench-Gap,MFGP,43,0.0399999999999998,10,199,0.0399999999999998,80.842,0
Matbench-Gap,MFGP,44,0.1100000000000001,10,199,0.1100000000000001,47.468,0
Matbench-Gap,MFGP,45,0.3299999999999998,10,199,0.3299999999999998,83.893,0
Matbench-Gap,MFGP,46,0.0399999999999998,10,199,0.0399999999999998,54.918,0
Matbench-Gap,MFGP,47,0.8700000000000001,10,199,0.8700000000000001,51.204,0
Matbench-Gap,MFGP,48,0.0,10,199,0.0,179.906,0
Matbench-Gap,MFGP,49,0.3800000000000001,10,199,0.3800000000000001,58.749,0
Matbench-Gap,MFGP,50,0.0,10,199,0.0,86.295,0
Matbench-Gap,MFGP,51,0.1999999999999999,10,199,0.1999999999999999,196.733,0
Matbench-Gap,MFGP,52,0.48,10,199,0.48,56.704,0
Matbench-Gap,MFGP,53,0.0,10,199,0.0,59.181,0
Matbench-Gap,MFGP,54,0.32,10,199,0.32,54.493,0
Matbench-Gap,MFGP,55,0.48,10,199,0.48,83.14,0
Matbench-Gap,MFGP,56,0.0299999999999998,10,199,0.0299999999999998,64.166,0
Matbench-Gap,MFGP,57,0.0999999999999998,10,199,0.0999999999999998,45.359,0
Matbench-Gap,MFGP,58,0.04,10,199,0.04,55.767,0
Matbench-Gap,MFGP,59,0.4500000000000002,10,199,0.4500000000000002,88.668,0
Matbench-Gap,MFGP,60,0.1199999999999998,10,199,0.1199999999999998,38.415,0
Matbench-Gap,MFGP,61,0.3,10,199,0.3,47.535,0
