benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
HOPV15,MFGP,42,2.6099999999999994,15,149,-7.59,42.814,0
HOPV15,MFGP,43,2.129999999999999,15,149,-8.07,47.076,0
HOPV15,MFGP,44,3.8999999999999995,15,149,-6.3,57.976,0
HOPV15,MFGP,45,3.5999999999999996,15,149,-6.6,50.274,0
HOPV15,MFGP,46,3.789999999999999,15,149,-6.41,50.699,0
HOPV15,MFGP,47,3.999999999999999,15,149,-6.2,45.524,0
HOPV15,MFGP,48,4.499999999999999,15,149,-5.7,45.499,0
HOPV15,MFGP,49,2.129999999999999,15,149,-8.07,59.169,0
HOPV15,MFGP,50,2.4099999999999993,15,149,-7.79,53.251,0
HOPV15,MFGP,51,3.2799999999999994,15,149,-6.92,38.47,0
HOPV15,MFGP,52,3.1999999999999993,15,149,-7.0,66.131,0
HOPV15,MFGP,53,0.0,15,149,-10.2,46.902,0
HOPV15,MFGP,54,2.4099999999999993,15,149,-7.79,57.073,0
HOPV15,MFGP,55,2.8999999999999995,15,149,-7.3,36.294,0
HOPV15,MFGP,56,2.3899999999999997,15,149,-7.81,60.105,0
HOPV15,MFGP,57,3.5299999999999994,15,149,-6.67,46.166,0
HOPV15,MFGP,58,3.5999999999999996,15,149,-6.6,52.81,0
HOPV15,MFGP,59,2.6999999999999993,15,149,-7.5,57.789,0
HOPV15,MFGP,60,2.8999999999999995,15,149,-7.3,36.973,0
HOPV15,MFGP,61,4.109999999999999,15,149,-6.09,59.171,0
