benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,n_exceptions
Matbench-Gap,MFGP,42,0.02,10,199,0.02,96.948,0
Matbench-Gap,MFGP,43,0.0399999999999998,10,199,0.0399999999999998,80.842,0
Matbench-Gap,MFGP,44,0.1100000000000001,10,199,0.1100000000000001,47.468,0
Matbench-Gap,MFGP,45,0.3299999999999998,10,199,0.3299999999999998,83.893,0
Matbench-Gap,MFGP,46,0.0399999999999998,10,199,0.0399999999999998,54.918,0
Matbench-Gap,MFGP,47,0.8700000000000001,10,199,0.8700000000000001,51.204,0
Matbench-Gap,MFGP,48,0.0,10,199,0.0,179.906,0
Matbench-Gap,MFGP,49,0.3800000000000001,10,199,0.3800000000000001,58.749,0
Matbench-Gap,MFGP,50,0.0,10,199,0.0,86.295,0
Matbench-Gap,MFGP,51,0.1999999999999999,10,199,0.1999999999999999,196.733,0
Matbench-Gap,MFGP,52,0.48,10,199,0.48,56.704,0
Matbench-Gap,MFGP,53,0.0,10,199,0.0,59.181,0
Matbench-Gap,MFGP,54,0.32,10,199,0.32,54.493,0
Matbench-Gap,MFGP,55,0.48,10,199,0.48,83.14,0
Matbench-Gap,MFGP,56,0.0299999999999998,10,199,0.0299999999999998,64.166,0
Matbench-Gap,MFGP,57,0.0999999999999998,10,199,0.0999999999999998,45.359,0
Matbench-Gap,MFGP,58,0.04,10,199,0.04,55.767,0
Matbench-Gap,MFGP,59,0.4500000000000002,10,199,0.4500000000000002,88.668,0
Matbench-Gap,MFGP,60,0.1199999999999998,10,199,0.1199999999999998,38.415,0
Matbench-Gap,MFGP,61,0.3,10,199,0.3,47.535,0
