benchmark,model,seed,budget,regret
Branin-Fav,NARGP,42,4.5,14.36850341155652
Branin-Fav,NARGP,42,4.6,14.36850341155652
Branin-Fav,NARGP,42,4.7,14.36850341155652
Branin-Fav,NARGP,42,4.8,14.36850341155652
Branin-Fav,NARGP,42,4.9,14.36850341155652
Branin-Fav,NARGP,42,5.0,14.36850341155652
Branin-Fav,NARGP,42,5.1,14.36850341155652
Branin-Fav,NARGP,42,5.2,14.36850341155652
Branin-Fav,NARGP,42,5.3,14.36850341155652
Branin-Fav,NARGP,42,5.4,14.36850341155652
Branin-Fav,NARGP,42,5.5,14.36850341155652
Branin-Fav,NARGP,42,6.5,13.33131069081427
Branin-Fav,NARGP,42,6.6,13.33131069081427
Branin-Fav,NARGP,42,6.7,13.33131069081427
Branin-Fav,NARGP,42,6.8,13.33131069081427
Branin-Fav,NARGP,42,6.9,13.33131069081427
Branin-Fav,NARGP,42,7.0,13.33131069081427
Branin-Fav,NARGP,42,7.1,13.33131069081427
Branin-Fav,NARGP,42,7.2,13.33131069081427
Branin-Fav,NARGP,42,7.3,13.33131069081427
Branin-Fav,NARGP,42,7.4,13.33131069081427
Branin-Fav,NARGP,42,7.5,13.33131069081427
Branin-Fav,NARGP,42,8.5,11.344263973818672
Branin-Fav,NARGP,42,8.6,11.344263973818672
Branin-Fav,NARGP,42,8.7,11.344263973818672
Branin-Fav,NARGP,42,8.8,11.344263973818672
Branin-Fav,NARGP,42,8.9,11.344263973818672
Branin-Fav,NARGP,42,9.0,11.344263973818672
Branin-Fav,NARGP,42,9.1,11.344263973818672
Branin-Fav,NARGP,42,9.2,11.344263973818672
Branin-Fav,NARGP,42,9.3,11.344263973818672
Branin-Fav,NARGP,42,9.4,11.344263973818672
Branin-Fav,NARGP,42,9.5,11.344263973818672
Branin-Fav,NARGP,42,10.5,11.056758883230524
Branin-Fav,NARGP,42,10.6,11.056758883230524
Branin-Fav,NARGP,42,10.7,11.056758883230524
Branin-Fav,NARGP,42,10.8,11.056758883230524
Branin-Fav,NARGP,42,10.9,11.056758883230524
Branin-Fav,NARGP,42,11.0,11.056758883230524
Branin-Fav,NARGP,42,11.1,11.056758883230524
Branin-Fav,NARGP,42,11.2,11.056758883230524
Branin-Fav,NARGP,42,11.3,11.056758883230524
Branin-Fav,NARGP,42,11.4,11.056758883230524
Branin-Fav,NARGP,42,11.5,11.056758883230524
Branin-Fav,NARGP,42,12.5,11.04401442466981
Branin-Fav,NARGP,42,12.6,11.04401442466981
Branin-Fav,NARGP,42,12.7,11.04401442466981
Branin-Fav,NARGP,42,12.8,11.04401442466981
Branin-Fav,NARGP,42,12.9,11.04401442466981
Branin-Fav,NARGP,42,13.0,11.04401442466981
Branin-Fav,NARGP,42,13.1,11.04401442466981
Branin-Fav,NARGP,42,13.2,11.04401442466981
Branin-Fav,NARGP,42,13.3,11.04401442466981
Branin-Fav,NARGP,42,13.4,11.04401442466981
Branin-Fav,NARGP,42,13.5,11.04401442466981
Branin-Fav,NARGP,42,14.5,10.956675700180904
Branin-Fav,NARGP,42,14.6,10.956675700180904
Branin-Fav,NARGP,42,14.7,10.956675700180904
Branin-Fav,NARGP,42,14.8,10.956675700180904
Branin-Fav,NARGP,42,14.9,10.956675700180904
Branin-Fav,NARGP,42,15.0,10.956675700180904
Branin-Fav,NARGP,42,15.1,10.956675700180904
Branin-Fav,NARGP,42,15.2,10.956675700180904
Branin-Fav,NARGP,42,15.3,10.956675700180904
Branin-Fav,NARGP,42,15.4,10.956675700180904
Branin-Fav,NARGP,42,15.5,10.956675700180904
Branin-Fav,NARGP,42,16.5,10.956675700180904
Branin-Fav,NARGP,42,16.6,10.956675700180904
Branin-Fav,NARGP,42,16.7,10.956675700180904
Branin-Fav,NARGP,42,16.8,10.956675700180904
Branin-Fav,NARGP,42,16.9,10.956675700180904
Branin-Fav,NARGP,42,17.0,10.956675700180904
Branin-Fav,NARGP,42,17.1,10.956675700180904
