benchmark,model,seed,budget,regret
Branin-Fav,Progressive,42,4.5,14.36850341155652
Branin-Fav,Progressive,42,4.6,14.36850341155652
Branin-Fav,Progressive,42,4.7,14.36850341155652
Branin-Fav,Progressive,42,4.8,14.36850341155652
Branin-Fav,Progressive,42,4.9,14.36850341155652
Branin-Fav,Progressive,42,5.0,14.36850341155652
Branin-Fav,Progressive,42,5.1,14.36850341155652
Branin-Fav,Progressive,42,5.2,14.36850341155652
Branin-Fav,Progressive,42,5.3,14.36850341155652
Branin-Fav,Progressive,42,5.4,14.36850341155652
Branin-Fav,Progressive,42,5.5,14.36850341155652
Branin-Fav,Progressive,42,6.5,14.36850341155652
Branin-Fav,Progressive,42,6.6,14.36850341155652
Branin-Fav,Progressive,42,6.7,14.36850341155652
Branin-Fav,Progressive,42,6.8,14.36850341155652
Branin-Fav,Progressive,42,6.9,14.36850341155652
Branin-Fav,Progressive,42,7.0,14.36850341155652
Branin-Fav,Progressive,42,7.1,14.36850341155652
Branin-Fav,Progressive,42,7.2,14.36850341155652
Branin-Fav,Progressive,42,7.3,14.36850341155652
Branin-Fav,Progressive,42,7.4,14.36850341155652
Branin-Fav,Progressive,42,7.5,14.36850341155652
Branin-Fav,Progressive,42,8.5,0.5618792313577536
Branin-Fav,Progressive,42,8.6,0.5618792313577536
Branin-Fav,Progressive,42,8.7,0.5618792313577536
Branin-Fav,Progressive,42,8.8,0.5618792313577536
Branin-Fav,Progressive,42,8.9,0.5618792313577536
Branin-Fav,Progressive,42,9.0,0.5618792313577536
Branin-Fav,Progressive,42,9.1,0.5618792313577536
Branin-Fav,Progressive,42,9.2,0.5618792313577536
Branin-Fav,Progressive,42,9.3,0.5618792313577536
Branin-Fav,Progressive,42,9.4,0.5618792313577536
Branin-Fav,Progressive,42,9.5,0.5618792313577536
Branin-Fav,Progressive,42,10.5,0.5618792313577536
Branin-Fav,Progressive,42,10.6,0.5618792313577536
Branin-Fav,Progressive,42,10.7,0.5618792313577536
Branin-Fav,Progressive,42,10.8,0.5618792313577536
Branin-Fav,Progressive,42,10.9,0.5618792313577536
Branin-Fav,Progressive,42,11.0,0.5618792313577536
Branin-Fav,Progressive,42,11.1,0.5618792313577536
Branin-Fav,Progressive,42,11.2,0.5618792313577536
Branin-Fav,Progressive,42,11.3,0.5618792313577536
Branin-Fav,Progressive,42,11.4,0.5618792313577536
Branin-Fav,Progressive,42,11.5,0.5618792313577536
Branin-Fav,Progressive,42,12.5,0.5618792313577536
Branin-Fav,Progressive,42,12.6,0.5618792313577536
Branin-Fav,Progressive,42,12.7,0.5618792313577536
Branin-Fav,Progressive,42,12.8,0.5618792313577536
Branin-Fav,Progressive,42,12.9,0.5618792313577536
Branin-Fav,Progressive,42,13.0,0.5618792313577536
Branin-Fav,Progressive,42,13.1,0.5618792313577536
Branin-Fav,Progressive,42,13.2,0.5618792313577536
Branin-Fav,Progressive,42,13.3,0.5618792313577536
Branin-Fav,Progressive,42,13.4,0.5618792313577536
Branin-Fav,Progressive,42,13.5,0.5618792313577536
Branin-Fav,Progressive,42,14.5,0.3969509731715899
Branin-Fav,Progressive,42,14.6,0.3969509731715899
Branin-Fav,Progressive,42,14.7,0.3969509731715899
Branin-Fav,Progressive,42,14.8,0.3969509731715899
Branin-Fav,Progressive,42,14.9,0.3969509731715899
Branin-Fav,Progressive,42,15.0,0.3969509731715899
Branin-Fav,Progressive,42,15.1,0.3969509731715899
Branin-Fav,Progressive,42,15.2,0.3969509731715899
Branin-Fav,Progressive,42,15.3,0.3969509731715899
Branin-Fav,Progressive,42,15.4,0.3969509731715899
