benchmark,model,seed,budget,regret
Branin-Unfav,Adapter,42,4.5,6.016610503377997
Branin-Unfav,Adapter,42,5.0,6.016610503377997
Branin-Unfav,Adapter,42,5.5,6.016610503377997
Branin-Unfav,Adapter,42,6.5,6.016610503377997
Branin-Unfav,Adapter,42,7.0,6.016610503377997
Branin-Unfav,Adapter,42,7.5,6.016610503377997
Branin-Unfav,Adapter,42,8.5,6.016610503377997
Branin-Unfav,Adapter,42,9.0,6.016610503377997
Branin-Unfav,Adapter,42,9.5,6.016610503377997
Branin-Unfav,Adapter,42,10.5,4.821353151124258
Branin-Unfav,Adapter,42,11.0,4.821353151124258
Branin-Unfav,Adapter,42,11.5,4.821353151124258
Branin-Unfav,Adapter,42,12.5,3.5800652789754164
Branin-Unfav,Adapter,42,13.0,3.5800652789754164
Branin-Unfav,Adapter,42,13.5,3.5800652789754164
Branin-Unfav,Adapter,42,14.5,2.5261993143651
Branin-Unfav,Adapter,42,15.0,2.5261993143651
Branin-Unfav,Adapter,42,15.5,2.5261993143651
Branin-Unfav,Adapter,42,16.5,1.6597552572933054
Branin-Unfav,Adapter,42,17.0,1.6597552572933054
Branin-Unfav,Adapter,42,17.5,1.6597552572933054
Branin-Unfav,Adapter,42,18.5,1.6597552572933054
Branin-Unfav,Adapter,42,19.0,1.6597552572933054
Branin-Unfav,Adapter,42,19.5,1.6597552572933054
Branin-Unfav,Adapter,42,20.5,1.6597552572933054
Branin-Unfav,Adapter,42,21.0,1.6597552572933054
Branin-Unfav,Adapter,42,21.5,1.6597552572933054
Branin-Unfav,Adapter,42,22.5,1.6597552572933054
Branin-Unfav,Adapter,42,23.0,1.6597552572933054
Branin-Unfav,Adapter,42,23.5,1.6597552572933054
Branin-Unfav,Adapter,42,24.5,1.6597552572933054
Branin-Unfav,Adapter,42,25.0,1.6597552572933054
Branin-Unfav,Adapter,42,25.5,1.6597552572933054
Branin-Unfav,Adapter,42,26.5,1.6597552572933054
Branin-Unfav,Adapter,42,27.0,1.6597552572933054
Branin-Unfav,Adapter,42,27.5,1.6597552572933054
Branin-Unfav,Adapter,42,28.5,1.6597552572933054
Branin-Unfav,Adapter,42,29.0,1.6597552572933054
Branin-Unfav,Adapter,42,29.5,1.6597552572933054
Branin-Unfav,Adapter,42,30.5,1.6597552572933054
Branin-Unfav,Adapter,42,31.0,1.6597552572933054
Branin-Unfav,Adapter,42,31.5,1.6597552572933054
Branin-Unfav,Adapter,42,32.5,0.882968249924005
Branin-Unfav,Adapter,42,33.0,0.882968249924005
Branin-Unfav,Adapter,42,33.5,0.882968249924005
Branin-Unfav,Adapter,42,34.5,0.882968249924005
Branin-Unfav,Adapter,42,35.0,0.882968249924005
Branin-Unfav,Adapter,42,35.5,0.882968249924005
Branin-Unfav,Adapter,42,36.5,0.882968249924005
Branin-Unfav,Adapter,42,37.0,0.882968249924005
Branin-Unfav,Adapter,42,37.5,0.882968249924005
Branin-Unfav,Adapter,42,38.5,0.882968249924005
Branin-Unfav,Adapter,42,39.0,0.882968249924005
Branin-Unfav,Adapter,42,39.5,0.882968249924005
Branin-Unfav,Adapter,42,40.5,0.882968249924005
Branin-Unfav,Adapter,42,41.0,0.882968249924005
Branin-Unfav,Adapter,42,41.5,0.882968249924005
Branin-Unfav,Adapter,42,42.5,0.882968249924005
Branin-Unfav,Adapter,42,43.0,0.882968249924005
Branin-Unfav,Adapter,42,43.5,0.882968249924005
Branin-Unfav,Adapter,42,44.5,0.882968249924005
Branin-Unfav,Adapter,42,45.0,0.882968249924005
Branin-Unfav,Adapter,42,45.5,0.882968249924005
Branin-Unfav,Adapter,42,46.5,0.882968249924005
Branin-Unfav,Adapter,42,47.0,0.882968249924005
Branin-Unfav,Adapter,42,47.5,0.882968249924005
Branin-Unfav,Adapter,42,48.5,0.882968249924005
Branin-Unfav,Adapter,42,49.0,0.882968249924005
Branin-Unfav,Adapter,42,49.5,0.882968249924005
Branin-Unfav,Adapter,42,50.0,0.882968249924005
Branin-Unfav,Adapter,43,4.5,8.457654454632731
Branin-Unfav,Adapter,43,5.0,8.457654454632731
Branin-Unfav,Adapter,43,5.5,8.457654454632731
Branin-Unfav,Adapter,43,6.5,8.457654454632731
Branin-Unfav,Adapter,43,7.0,8.457654454632731
Branin-Unfav,Adapter,43,7.5,8.457654454632731
Branin-Unfav,Adapter,43,8.5,8.457654454632731
Branin-Unfav,Adapter,43,9.0,8.457654454632731
Branin-Unfav,Adapter,43,9.5,8.457654454632731
Branin-Unfav,Adapter,43,10.5,8.457654454632731
