benchmark,model,seed,budget,regret
Branin-Unfav,Curriculum,42,4.5,6.016610503377997
Branin-Unfav,Curriculum,42,5.0,6.016610503377997
Branin-Unfav,Curriculum,42,5.5,6.016610503377997
Branin-Unfav,Curriculum,42,6.5,6.016610503377997
Branin-Unfav,Curriculum,42,7.0,6.016610503377997
Branin-Unfav,Curriculum,42,7.5,6.016610503377997
Branin-Unfav,Curriculum,42,8.5,6.016610503377997
Branin-Unfav,Curriculum,42,9.0,6.016610503377997
Branin-Unfav,Curriculum,42,9.5,6.016610503377997
Branin-Unfav,Curriculum,42,10.5,6.016610503377997
Branin-Unfav,Curriculum,42,11.0,6.016610503377997
Branin-Unfav,Curriculum,42,11.5,6.016610503377997
Branin-Unfav,Curriculum,42,12.5,1.413226504089046
Branin-Unfav,Curriculum,42,13.0,1.413226504089046
Branin-Unfav,Curriculum,42,13.5,1.413226504089046
Branin-Unfav,Curriculum,42,14.5,0.8424602688694769
Branin-Unfav,Curriculum,42,15.0,0.8424602688694769
Branin-Unfav,Curriculum,42,15.5,0.8424602688694769
Branin-Unfav,Curriculum,42,16.5,0.8424602688694769
Branin-Unfav,Curriculum,42,17.0,0.8424602688694769
Branin-Unfav,Curriculum,42,17.5,0.8424602688694769
Branin-Unfav,Curriculum,42,18.5,0.3969509731715899
Branin-Unfav,Curriculum,42,19.0,0.3969509731715899
Branin-Unfav,Curriculum,42,19.5,0.3969509731715899
Branin-Unfav,Curriculum,42,20.5,0.3969509731715899
Branin-Unfav,Curriculum,42,21.0,0.3969509731715899
Branin-Unfav,Curriculum,42,21.5,0.3969509731715899
Branin-Unfav,Curriculum,42,22.5,0.3969509731715899
Branin-Unfav,Curriculum,42,23.0,0.3969509731715899
Branin-Unfav,Curriculum,42,23.5,0.3969509731715899
Branin-Unfav,Curriculum,42,24.5,0.3969509731715899
Branin-Unfav,Curriculum,42,25.0,0.3969509731715899
Branin-Unfav,Curriculum,42,25.5,0.3969509731715899
Branin-Unfav,Curriculum,42,26.5,0.3969509731715899
Branin-Unfav,Curriculum,42,27.0,0.3969509731715899
Branin-Unfav,Curriculum,42,27.5,0.3969509731715899
Branin-Unfav,Curriculum,42,28.5,0.3969509731715899
Branin-Unfav,Curriculum,42,29.0,0.3969509731715899
Branin-Unfav,Curriculum,42,29.5,0.3969509731715899
Branin-Unfav,Curriculum,42,30.5,0.3969509731715899
Branin-Unfav,Curriculum,42,31.0,0.3969509731715899
Branin-Unfav,Curriculum,42,31.5,0.3969509731715899
Branin-Unfav,Curriculum,42,32.5,0.3969509731715899
Branin-Unfav,Curriculum,42,33.0,0.3969509731715899
Branin-Unfav,Curriculum,42,33.5,0.3969509731715899
Branin-Unfav,Curriculum,42,34.5,0.1388635850122277
Branin-Unfav,Curriculum,42,35.0,0.1388635850122277
Branin-Unfav,Curriculum,42,35.5,0.1388635850122277
Branin-Unfav,Curriculum,42,36.5,0.1388635850122277
Branin-Unfav,Curriculum,42,37.0,0.1388635850122277
Branin-Unfav,Curriculum,42,37.5,0.1388635850122277
Branin-Unfav,Curriculum,42,38.5,0.1388635850122277
Branin-Unfav,Curriculum,42,39.0,0.1388635850122277
Branin-Unfav,Curriculum,42,39.5,0.1388635850122277
Branin-Unfav,Curriculum,42,40.5,0.1388635850122277
Branin-Unfav,Curriculum,42,41.0,0.1388635850122277
Branin-Unfav,Curriculum,42,41.5,0.1388635850122277
Branin-Unfav,Curriculum,42,42.5,0.1388635850122277
Branin-Unfav,Curriculum,42,43.0,0.1388635850122277
Branin-Unfav,Curriculum,42,43.5,0.1388635850122277
Branin-Unfav,Curriculum,42,44.5,0.1388635850122277
Branin-Unfav,Curriculum,42,45.0,0.1388635850122277
Branin-Unfav,Curriculum,42,45.5,0.1388635850122277
Branin-Unfav,Curriculum,42,46.5,0.1388635850122277
Branin-Unfav,Curriculum,42,47.0,0.1388635850122277
Branin-Unfav,Curriculum,42,47.5,0.1388635850122277
Branin-Unfav,Curriculum,42,48.5,0.1388635850122277
Branin-Unfav,Curriculum,42,49.0,0.1388635850122277
Branin-Unfav,Curriculum,42,49.5,0.1388635850122277
Branin-Unfav,Curriculum,42,50.0,0.1388635850122277
Branin-Unfav,Curriculum,43,4.5,8.457654454632731
Branin-Unfav,Curriculum,43,5.0,8.457654454632731
Branin-Unfav,Curriculum,43,5.5,8.457654454632731
Branin-Unfav,Curriculum,43,6.5,8.457654454632731
Branin-Unfav,Curriculum,43,7.0,8.457654454632731
Branin-Unfav,Curriculum,43,7.5,8.457654454632731
Branin-Unfav,Curriculum,43,8.5,8.457654454632731
Branin-Unfav,Curriculum,43,9.0,8.457654454632731
Branin-Unfav,Curriculum,43,9.5,8.457654454632731
Branin-Unfav,Curriculum,43,10.5,8.457654454632731
Branin-Unfav,Curriculum,43,11.0,8.457654454632731
Branin-Unfav,Curriculum,43,11.5,8.457654454632731
