benchmark,model,seed,budget,regret
Branin-Unfav,DNGOGradient,42,4.5,6.016610503377997
Branin-Unfav,DNGOGradient,42,5.0,6.016610503377997
Branin-Unfav,DNGOGradient,42,5.5,6.016610503377997
Branin-Unfav,DNGOGradient,42,6.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,7.0,3.567585110556067
Branin-Unfav,DNGOGradient,42,7.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,8.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,9.0,3.567585110556067
Branin-Unfav,DNGOGradient,42,9.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,10.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,11.0,3.567585110556067
Branin-Unfav,DNGOGradient,42,11.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,12.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,13.0,3.567585110556067
Branin-Unfav,DNGOGradient,42,13.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,14.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,15.0,3.567585110556067
Branin-Unfav,DNGOGradient,42,15.5,3.567585110556067
Branin-Unfav,DNGOGradient,42,16.5,1.413226504089046
Branin-Unfav,DNGOGradient,42,17.0,1.413226504089046
Branin-Unfav,DNGOGradient,42,17.5,1.413226504089046
Branin-Unfav,DNGOGradient,42,18.5,0.98073310776004
Branin-Unfav,DNGOGradient,42,19.0,0.98073310776004
Branin-Unfav,DNGOGradient,42,19.5,0.98073310776004
Branin-Unfav,DNGOGradient,42,20.5,0.4891328657652973
Branin-Unfav,DNGOGradient,42,21.0,0.4891328657652973
Branin-Unfav,DNGOGradient,42,21.5,0.4891328657652973
Branin-Unfav,DNGOGradient,42,22.5,0.4891328657652973
Branin-Unfav,DNGOGradient,42,23.0,0.4891328657652973
Branin-Unfav,DNGOGradient,42,23.5,0.4891328657652973
Branin-Unfav,DNGOGradient,42,24.5,0.230368583809307
Branin-Unfav,DNGOGradient,42,25.0,0.230368583809307
Branin-Unfav,DNGOGradient,42,25.5,0.230368583809307
Branin-Unfav,DNGOGradient,42,26.5,0.1849545313090832
Branin-Unfav,DNGOGradient,42,27.0,0.1849545313090832
Branin-Unfav,DNGOGradient,42,27.5,0.1849545313090832
Branin-Unfav,DNGOGradient,42,28.5,0.0681981043913921
Branin-Unfav,DNGOGradient,42,29.0,0.0681981043913921
Branin-Unfav,DNGOGradient,42,29.5,0.0681981043913921
Branin-Unfav,DNGOGradient,42,30.5,0.0681981043913921
Branin-Unfav,DNGOGradient,42,31.0,0.0681981043913921
Branin-Unfav,DNGOGradient,42,31.5,0.0681981043913921
Branin-Unfav,DNGOGradient,42,32.5,0.0681981043913921
Branin-Unfav,DNGOGradient,42,33.0,0.0681981043913921
Branin-Unfav,DNGOGradient,42,33.5,0.0681981043913921
Branin-Unfav,DNGOGradient,42,34.5,0.0681981043913921
