benchmark,model,seed,budget,regret
Branin-Unfav,DNGOJoint,42,4.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,5.0,6.016610503377997
Branin-Unfav,DNGOJoint,42,5.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,6.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,7.0,6.016610503377997
Branin-Unfav,DNGOJoint,42,7.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,8.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,9.0,6.016610503377997
Branin-Unfav,DNGOJoint,42,9.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,10.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,11.0,6.016610503377997
Branin-Unfav,DNGOJoint,42,11.5,6.016610503377997
Branin-Unfav,DNGOJoint,42,12.5,1.5856551041075913
Branin-Unfav,DNGOJoint,42,13.0,1.5856551041075913
Branin-Unfav,DNGOJoint,42,13.5,1.5856551041075913
Branin-Unfav,DNGOJoint,42,14.5,1.4125131173744343
Branin-Unfav,DNGOJoint,42,15.0,1.4125131173744343
Branin-Unfav,DNGOJoint,42,15.5,1.4125131173744343
Branin-Unfav,DNGOJoint,42,16.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,17.0,0.4947088497035441
Branin-Unfav,DNGOJoint,42,17.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,18.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,19.0,0.4947088497035441
Branin-Unfav,DNGOJoint,42,19.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,20.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,21.0,0.4947088497035441
Branin-Unfav,DNGOJoint,42,21.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,22.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,23.0,0.4947088497035441
Branin-Unfav,DNGOJoint,42,23.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,24.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,25.0,0.4947088497035441
Branin-Unfav,DNGOJoint,42,25.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,26.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,27.0,0.4947088497035441
Branin-Unfav,DNGOJoint,42,27.5,0.4947088497035441
Branin-Unfav,DNGOJoint,42,28.5,0.4891328657652973
Branin-Unfav,DNGOJoint,42,29.0,0.4891328657652973
Branin-Unfav,DNGOJoint,42,29.5,0.4891328657652973
Branin-Unfav,DNGOJoint,42,30.5,0.4891328657652973
Branin-Unfav,DNGOJoint,42,31.0,0.4891328657652973
Branin-Unfav,DNGOJoint,42,31.5,0.4891328657652973
Branin-Unfav,DNGOJoint,42,32.5,0.1388635850122277
Branin-Unfav,DNGOJoint,42,33.0,0.1388635850122277
Branin-Unfav,DNGOJoint,42,33.5,0.1388635850122277
Branin-Unfav,DNGOJoint,42,34.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,35.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,35.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,36.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,37.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,37.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,38.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,39.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,39.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,40.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,41.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,41.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,42.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,43.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,43.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,44.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,45.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,45.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,46.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,47.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,47.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,48.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,49.0,0.0681981043913921
Branin-Unfav,DNGOJoint,42,49.5,0.0681981043913921
Branin-Unfav,DNGOJoint,42,50.0,0.0681981043913921
Branin-Unfav,DNGOJoint,43,4.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,5.0,8.457654454632731
Branin-Unfav,DNGOJoint,43,5.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,6.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,7.0,8.457654454632731
Branin-Unfav,DNGOJoint,43,7.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,8.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,9.0,8.457654454632731
Branin-Unfav,DNGOJoint,43,9.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,10.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,11.0,8.457654454632731
Branin-Unfav,DNGOJoint,43,11.5,8.457654454632731
Branin-Unfav,DNGOJoint,43,12.5,8.335607654614046
Branin-Unfav,DNGOJoint,43,13.0,8.335607654614046
Branin-Unfav,DNGOJoint,43,13.5,8.335607654614046
Branin-Unfav,DNGOJoint,43,14.5,8.335607654614046
Branin-Unfav,DNGOJoint,43,15.0,8.335607654614046
Branin-Unfav,DNGOJoint,43,15.5,8.335607654614046
Branin-Unfav,DNGOJoint,43,16.5,8.335607654614046
Branin-Unfav,DNGOJoint,43,17.0,8.335607654614046
Branin-Unfav,DNGOJoint,43,17.5,8.335607654614046
Branin-Unfav,DNGOJoint,43,18.5,4.821353151124258
Branin-Unfav,DNGOJoint,43,19.0,4.821353151124258
Branin-Unfav,DNGOJoint,43,19.5,4.821353151124258
Branin-Unfav,DNGOJoint,43,20.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,21.0,3.5800652789754164
Branin-Unfav,DNGOJoint,43,21.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,22.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,23.0,3.5800652789754164
Branin-Unfav,DNGOJoint,43,23.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,24.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,25.0,3.5800652789754164
Branin-Unfav,DNGOJoint,43,25.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,26.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,27.0,3.5800652789754164
Branin-Unfav,DNGOJoint,43,27.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,28.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,29.0,3.5800652789754164
Branin-Unfav,DNGOJoint,43,29.5,3.5800652789754164
Branin-Unfav,DNGOJoint,43,30.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,31.0,1.8392609000788007
Branin-Unfav,DNGOJoint,43,31.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,32.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,33.0,1.8392609000788007
Branin-Unfav,DNGOJoint,43,33.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,34.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,35.0,1.8392609000788007
Branin-Unfav,DNGOJoint,43,35.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,36.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,37.0,1.8392609000788007
Branin-Unfav,DNGOJoint,43,37.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,38.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,39.0,1.8392609000788007
Branin-Unfav,DNGOJoint,43,39.5,1.8392609000788007
Branin-Unfav,DNGOJoint,43,40.5,1.5856551041075913
Branin-Unfav,DNGOJoint,43,41.0,1.5856551041075913
Branin-Unfav,DNGOJoint,43,41.5,1.5856551041075913
Branin-Unfav,DNGOJoint,43,42.5,1.5856551041075913
Branin-Unfav,DNGOJoint,43,43.0,1.5856551041075913
Branin-Unfav,DNGOJoint,43,43.5,1.5856551041075913
Branin-Unfav,DNGOJoint,43,44.5,1.5856551041075913
Branin-Unfav,DNGOJoint,43,45.0,1.5856551041075913
Branin-Unfav,DNGOJoint,43,45.5,1.5856551041075913
Branin-Unfav,DNGOJoint,43,46.5,0.946471023136306
Branin-Unfav,DNGOJoint,43,47.0,0.946471023136306
Branin-Unfav,DNGOJoint,43,47.5,0.946471023136306
Branin-Unfav,DNGOJoint,43,48.5,0.4947088497035441
Branin-Unfav,DNGOJoint,43,49.0,0.4947088497035441
Branin-Unfav,DNGOJoint,43,49.5,0.4947088497035441
Branin-Unfav,DNGOJoint,43,50.0,0.4947088497035441
Branin-Unfav,DNGOJoint,44,4.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,5.0,7.10398784713054
Branin-Unfav,DNGOJoint,44,5.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,6.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,7.0,7.10398784713054
Branin-Unfav,DNGOJoint,44,7.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,8.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,9.0,7.10398784713054
Branin-Unfav,DNGOJoint,44,9.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,10.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,11.0,7.10398784713054
Branin-Unfav,DNGOJoint,44,11.5,7.10398784713054
Branin-Unfav,DNGOJoint,44,12.5,5.61507535966037
Branin-Unfav,DNGOJoint,44,13.0,5.61507535966037
Branin-Unfav,DNGOJoint,44,13.5,5.61507535966037
Branin-Unfav,DNGOJoint,44,14.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,15.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,15.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,16.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,17.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,17.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,18.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,19.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,19.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,20.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,21.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,21.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,22.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,23.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,23.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,24.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,25.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,25.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,26.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,27.0,4.722805902881438
Branin-Unfav,DNGOJoint,44,27.5,4.722805902881438
Branin-Unfav,DNGOJoint,44,28.5,3.614278191875552
Branin-Unfav,DNGOJoint,44,29.0,3.614278191875552
Branin-Unfav,DNGOJoint,44,29.5,3.614278191875552
Branin-Unfav,DNGOJoint,44,30.5,3.5800652789754164
Branin-Unfav,DNGOJoint,44,31.0,3.5800652789754164
Branin-Unfav,DNGOJoint,44,31.5,3.5800652789754164
Branin-Unfav,DNGOJoint,44,32.5,0.4947088497035441
Branin-Unfav,DNGOJoint,44,33.0,0.4947088497035441
Branin-Unfav,DNGOJoint,44,33.5,0.4947088497035441
Branin-Unfav,DNGOJoint,44,34.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,35.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,35.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,36.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,37.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,37.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,38.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,39.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,39.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,40.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,41.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,41.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,42.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,43.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,43.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,44.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,45.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,45.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,46.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,47.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,47.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,48.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,49.0,0.4891328657652973
Branin-Unfav,DNGOJoint,44,49.5,0.4891328657652973
Branin-Unfav,DNGOJoint,44,50.0,0.4891328657652973
Branin-Unfav,DNGOJoint,45,4.5,91.9223068690127
Branin-Unfav,DNGOJoint,45,5.0,91.9223068690127
Branin-Unfav,DNGOJoint,45,5.5,91.9223068690127
Branin-Unfav,DNGOJoint,45,6.5,19.57179157287021
Branin-Unfav,DNGOJoint,45,7.0,19.57179157287021
Branin-Unfav,DNGOJoint,45,7.5,19.57179157287021
Branin-Unfav,DNGOJoint,45,8.5,19.57179157287021
Branin-Unfav,DNGOJoint,45,9.0,19.57179157287021
Branin-Unfav,DNGOJoint,45,9.5,19.57179157287021
Branin-Unfav,DNGOJoint,45,10.5,7.6903656434101695
Branin-Unfav,DNGOJoint,45,11.0,7.6903656434101695
Branin-Unfav,DNGOJoint,45,11.5,7.6903656434101695
Branin-Unfav,DNGOJoint,45,12.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,13.0,5.396536248624538
Branin-Unfav,DNGOJoint,45,13.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,14.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,15.0,5.396536248624538
Branin-Unfav,DNGOJoint,45,15.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,16.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,17.0,5.396536248624538
Branin-Unfav,DNGOJoint,45,17.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,18.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,19.0,5.396536248624538
Branin-Unfav,DNGOJoint,45,19.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,20.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,21.0,5.396536248624538
Branin-Unfav,DNGOJoint,45,21.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,22.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,23.0,5.396536248624538
Branin-Unfav,DNGOJoint,45,23.5,5.396536248624538
Branin-Unfav,DNGOJoint,45,24.5,4.755017725032129
Branin-Unfav,DNGOJoint,45,25.0,4.755017725032129
Branin-Unfav,DNGOJoint,45,25.5,4.755017725032129
Branin-Unfav,DNGOJoint,45,26.5,4.755017725032129
Branin-Unfav,DNGOJoint,45,27.0,4.755017725032129
Branin-Unfav,DNGOJoint,45,27.5,4.755017725032129
Branin-Unfav,DNGOJoint,45,28.5,4.142842528648427
Branin-Unfav,DNGOJoint,45,29.0,4.142842528648427
Branin-Unfav,DNGOJoint,45,29.5,4.142842528648427
Branin-Unfav,DNGOJoint,45,30.5,4.142842528648427
Branin-Unfav,DNGOJoint,45,31.0,4.142842528648427
Branin-Unfav,DNGOJoint,45,31.5,4.142842528648427
Branin-Unfav,DNGOJoint,45,32.5,4.142842528648427
Branin-Unfav,DNGOJoint,45,33.0,4.142842528648427
Branin-Unfav,DNGOJoint,45,33.5,4.142842528648427
