benchmark,model,seed,budget,regret
Branin-Unfav,DomainAdaptationMMD,42,4.5,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,5.0,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,5.5,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,6.5,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,7.0,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,7.5,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,8.5,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,9.0,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,9.5,6.016610503377997
Branin-Unfav,DomainAdaptationMMD,42,10.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,11.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,11.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,12.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,13.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,13.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,14.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,15.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,15.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,16.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,17.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,17.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,18.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,19.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,19.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,20.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,21.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,21.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,22.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,23.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,23.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,24.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,25.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,25.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,26.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,27.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,27.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,28.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,29.0,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,29.5,5.468307560943662
Branin-Unfav,DomainAdaptationMMD,42,30.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,31.0,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,31.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,32.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,33.0,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,33.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,34.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,35.0,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,35.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,36.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,37.0,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,37.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,38.5,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,39.0,2.2784190502359443
Branin-Unfav,DomainAdaptationMMD,42,39.5,2.2784190502359443
