benchmark,model,seed,budget,regret
Branin-Unfav,NARGP,42,4.5,6.016610503377997
Branin-Unfav,NARGP,42,5.0,6.016610503377997
Branin-Unfav,NARGP,42,5.5,6.016610503377997
Branin-Unfav,NARGP,42,6.5,4.627738792252607
Branin-Unfav,NARGP,42,7.0,4.627738792252607
Branin-Unfav,NARGP,42,7.5,4.627738792252607
Branin-Unfav,NARGP,42,8.5,4.627738792252607
Branin-Unfav,NARGP,42,9.0,4.627738792252607
Branin-Unfav,NARGP,42,9.5,4.627738792252607
Branin-Unfav,NARGP,42,10.5,4.627738792252607
Branin-Unfav,NARGP,42,11.0,4.627738792252607
Branin-Unfav,NARGP,42,11.5,4.627738792252607
Branin-Unfav,NARGP,42,12.5,3.5800652789754164
Branin-Unfav,NARGP,42,13.0,3.5800652789754164
Branin-Unfav,NARGP,42,13.5,3.5800652789754164
Branin-Unfav,NARGP,42,14.5,3.426288988665743
Branin-Unfav,NARGP,42,15.0,3.426288988665743
Branin-Unfav,NARGP,42,15.5,3.426288988665743
Branin-Unfav,NARGP,42,16.5,2.5261993143651
Branin-Unfav,NARGP,42,17.0,2.5261993143651
Branin-Unfav,NARGP,42,17.5,2.5261993143651
Branin-Unfav,NARGP,42,18.5,2.5261993143651
Branin-Unfav,NARGP,42,19.0,2.5261993143651
Branin-Unfav,NARGP,42,19.5,2.5261993143651
Branin-Unfav,NARGP,42,20.5,1.6597552572933054
Branin-Unfav,NARGP,42,21.0,1.6597552572933054
Branin-Unfav,NARGP,42,21.5,1.6597552572933054
Branin-Unfav,NARGP,42,22.5,1.6597552572933054
Branin-Unfav,NARGP,42,23.0,1.6597552572933054
Branin-Unfav,NARGP,42,23.5,1.6597552572933054
Branin-Unfav,NARGP,42,24.5,1.6597552572933054
Branin-Unfav,NARGP,42,25.0,1.6597552572933054
Branin-Unfav,NARGP,42,25.5,1.6597552572933054
Branin-Unfav,NARGP,42,26.5,0.98073310776004
Branin-Unfav,NARGP,42,27.0,0.98073310776004
Branin-Unfav,NARGP,42,27.5,0.98073310776004
Branin-Unfav,NARGP,42,28.5,0.98073310776004
