benchmark,model,seed,budget,regret
Branin-Unfav,SoftParameterSharing,42,4.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,5.0,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,5.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,6.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,7.0,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,7.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,8.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,9.0,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,9.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,10.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,11.0,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,11.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,12.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,13.0,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,13.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,14.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,15.0,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,15.5,6.016610503377997
Branin-Unfav,SoftParameterSharing,42,16.5,5.61507535966037
Branin-Unfav,SoftParameterSharing,42,17.0,5.61507535966037
Branin-Unfav,SoftParameterSharing,42,17.5,5.61507535966037
Branin-Unfav,SoftParameterSharing,42,18.5,4.722805902881438
Branin-Unfav,SoftParameterSharing,42,19.0,4.722805902881438
Branin-Unfav,SoftParameterSharing,42,19.5,4.722805902881438
Branin-Unfav,SoftParameterSharing,42,20.5,3.614278191875552
Branin-Unfav,SoftParameterSharing,42,21.0,3.614278191875552
Branin-Unfav,SoftParameterSharing,42,21.5,3.614278191875552
Branin-Unfav,SoftParameterSharing,42,22.5,3.614278191875552
Branin-Unfav,SoftParameterSharing,42,23.0,3.614278191875552
Branin-Unfav,SoftParameterSharing,42,23.5,3.614278191875552
Branin-Unfav,SoftParameterSharing,42,24.5,3.614278191875552
