benchmark,model,seed,budget,regret
Branin-Unfav,TwoStageJoint,42,4.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,5.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,5.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,6.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,7.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,7.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,8.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,9.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,9.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,10.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,11.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,11.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,12.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,13.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,13.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,14.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,15.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,15.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,16.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,17.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,17.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,18.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,19.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,19.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,20.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,21.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,21.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,22.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,23.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,23.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,24.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,25.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,25.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,26.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,27.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,27.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,28.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,29.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,29.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,30.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,31.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,31.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,32.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,33.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,33.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,34.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,35.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,35.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,36.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,37.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,37.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,38.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,39.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,39.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,40.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,41.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,41.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,42.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,43.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,43.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,44.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,45.0,6.016610503377997
Branin-Unfav,TwoStageJoint,42,45.5,6.016610503377997
Branin-Unfav,TwoStageJoint,42,46.5,5.874645405146621
Branin-Unfav,TwoStageJoint,42,47.0,5.874645405146621
Branin-Unfav,TwoStageJoint,42,47.5,5.874645405146621
Branin-Unfav,TwoStageJoint,42,48.5,5.874645405146621
Branin-Unfav,TwoStageJoint,42,49.0,5.874645405146621
Branin-Unfav,TwoStageJoint,42,49.5,5.874645405146621
Branin-Unfav,TwoStageJoint,42,50.0,5.874645405146621
Branin-Unfav,TwoStageJoint,43,4.5,8.457654454632731
Branin-Unfav,TwoStageJoint,43,5.0,8.457654454632731
Branin-Unfav,TwoStageJoint,43,5.5,8.457654454632731
Branin-Unfav,TwoStageJoint,43,6.5,8.457654454632731
Branin-Unfav,TwoStageJoint,43,7.0,8.457654454632731
Branin-Unfav,TwoStageJoint,43,7.5,8.457654454632731
Branin-Unfav,TwoStageJoint,43,8.5,8.457654454632731
Branin-Unfav,TwoStageJoint,43,9.0,8.457654454632731
Branin-Unfav,TwoStageJoint,43,9.5,8.457654454632731
Branin-Unfav,TwoStageJoint,43,10.5,7.6903656434101695
Branin-Unfav,TwoStageJoint,43,11.0,7.6903656434101695
Branin-Unfav,TwoStageJoint,43,11.5,7.6903656434101695
Branin-Unfav,TwoStageJoint,43,12.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,13.0,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,13.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,14.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,15.0,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,15.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,16.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,17.0,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,17.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,18.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,19.0,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,19.5,5.9728540902918255
Branin-Unfav,TwoStageJoint,43,20.5,5.396536248624538
Branin-Unfav,TwoStageJoint,43,21.0,5.396536248624538
Branin-Unfav,TwoStageJoint,43,21.5,5.396536248624538
Branin-Unfav,TwoStageJoint,43,22.5,5.396536248624538
Branin-Unfav,TwoStageJoint,43,23.0,5.396536248624538
Branin-Unfav,TwoStageJoint,43,23.5,5.396536248624538
Branin-Unfav,TwoStageJoint,43,24.5,5.396536248624538
Branin-Unfav,TwoStageJoint,43,25.0,5.396536248624538
