benchmark,model,seed,budget,regret
COFs,Adapter,42,3.495,15.411634978620436
COFs,Adapter,42,3.56,15.411634978620436
COFs,Adapter,42,3.625,15.411634978620436
COFs,Adapter,42,3.69,15.411634978620436
COFs,Adapter,42,3.755,15.411634978620436
COFs,Adapter,42,3.82,15.411634978620436
COFs,Adapter,42,3.885,15.411634978620436
COFs,Adapter,42,3.95,15.411634978620436
COFs,Adapter,42,4.015,15.411634978620436
COFs,Adapter,42,4.08,15.411634978620436
COFs,Adapter,42,4.145,15.411634978620436
COFs,Adapter,42,4.21,15.411634978620436
COFs,Adapter,42,4.275,15.411634978620436
COFs,Adapter,42,4.34,15.411634978620436
COFs,Adapter,42,4.405,15.411634978620436
COFs,Adapter,42,4.47,15.411634978620436
COFs,Adapter,42,5.47,15.411634978620436
COFs,Adapter,42,5.535,15.411634978620436
COFs,Adapter,42,5.6,15.411634978620436
COFs,Adapter,42,5.665,15.411634978620436
COFs,Adapter,42,5.73,15.411634978620436
COFs,Adapter,42,5.795,15.411634978620436
COFs,Adapter,42,5.86,15.411634978620436
COFs,Adapter,42,5.925,15.411634978620436
COFs,Adapter,42,5.99,15.411634978620436
COFs,Adapter,42,6.055,15.411634978620436
COFs,Adapter,42,6.12,15.411634978620436
COFs,Adapter,42,6.185,15.411634978620436
COFs,Adapter,42,6.25,15.411634978620436
COFs,Adapter,42,6.315,15.411634978620436
COFs,Adapter,42,6.38,15.411634978620436
COFs,Adapter,42,6.445,15.411634978620436
COFs,Adapter,42,7.445,11.628734252735878
COFs,Adapter,42,7.51,11.628734252735878
COFs,Adapter,42,7.575,11.628734252735878
COFs,Adapter,42,7.64,11.628734252735878
COFs,Adapter,42,7.705,11.628734252735878
COFs,Adapter,42,7.77,11.628734252735878
COFs,Adapter,42,7.835,11.628734252735878
COFs,Adapter,42,7.9,11.628734252735878
COFs,Adapter,42,7.965,11.628734252735878
COFs,Adapter,42,8.03,11.628734252735878
COFs,Adapter,42,8.095,11.628734252735878
COFs,Adapter,42,8.16,11.628734252735878
COFs,Adapter,42,8.225,11.628734252735878
COFs,Adapter,42,8.29,11.628734252735878
COFs,Adapter,42,8.355,11.628734252735878
COFs,Adapter,42,8.42,11.628734252735878
COFs,Adapter,42,9.42,3.542139991253217
COFs,Adapter,42,9.485,3.542139991253217
COFs,Adapter,42,9.55,3.542139991253217
COFs,Adapter,42,9.615,3.542139991253217
COFs,Adapter,42,9.68,3.542139991253217
COFs,Adapter,42,9.745,3.542139991253217
COFs,Adapter,42,9.81,3.542139991253217
COFs,Adapter,42,9.875,3.542139991253217
COFs,Adapter,42,9.94,3.542139991253217
COFs,Adapter,42,10.005,3.542139991253217
COFs,Adapter,42,10.07,3.542139991253217
COFs,Adapter,42,10.135,3.542139991253217
COFs,Adapter,42,10.2,3.542139991253217
COFs,Adapter,42,10.265,3.542139991253217
COFs,Adapter,42,10.33,3.542139991253217
COFs,Adapter,42,10.395,3.542139991253217
COFs,Adapter,42,11.395,3.542139991253217
COFs,Adapter,42,11.46,3.542139991253217
COFs,Adapter,42,11.525,3.542139991253217
COFs,Adapter,42,11.59,3.542139991253217
COFs,Adapter,42,11.655,3.542139991253217
COFs,Adapter,42,11.72,3.542139991253217
COFs,Adapter,42,11.785,3.542139991253217
COFs,Adapter,42,11.85,3.542139991253217
COFs,Adapter,42,11.915,3.542139991253217
COFs,Adapter,42,11.98,3.542139991253217
COFs,Adapter,42,12.045,3.542139991253217
COFs,Adapter,42,12.11,3.542139991253217
COFs,Adapter,42,12.175,3.542139991253217
COFs,Adapter,42,12.24,3.542139991253217
COFs,Adapter,42,12.305,3.542139991253217
COFs,Adapter,42,12.37,3.542139991253217
COFs,Adapter,42,13.37,1.6834527522225675
COFs,Adapter,42,13.435,1.6834527522225675
COFs,Adapter,42,13.5,1.6834527522225675
COFs,Adapter,42,13.565,1.6834527522225675
COFs,Adapter,42,13.63,1.6834527522225675
COFs,Adapter,42,13.695,1.6834527522225675
COFs,Adapter,42,13.76,1.6834527522225675
COFs,Adapter,42,13.825,1.6834527522225675
COFs,Adapter,42,13.89,1.6834527522225675
COFs,Adapter,42,13.955,1.6834527522225675
COFs,Adapter,42,14.02,1.6834527522225675
COFs,Adapter,42,14.085,1.6834527522225675
COFs,Adapter,42,14.15,1.6834527522225675
COFs,Adapter,42,14.215,1.6834527522225675
COFs,Adapter,42,14.28,1.6834527522225675
COFs,Adapter,42,14.345,1.6834527522225675
COFs,Adapter,42,15.345,0.3635064340810032
COFs,Adapter,42,15.41,0.3635064340810032
COFs,Adapter,42,15.475,0.3635064340810032
COFs,Adapter,42,15.54,0.3635064340810032
COFs,Adapter,42,15.605,0.3635064340810032
COFs,Adapter,42,15.67,0.3635064340810032
COFs,Adapter,42,15.735,0.3635064340810032
COFs,Adapter,42,15.8,0.3635064340810032
COFs,Adapter,42,15.865,0.3635064340810032
COFs,Adapter,42,15.93,0.3635064340810032
COFs,Adapter,42,15.995,0.3635064340810032
COFs,Adapter,42,16.06,0.3635064340810032
COFs,Adapter,42,16.125,0.3635064340810032
COFs,Adapter,42,16.19,0.3635064340810032
COFs,Adapter,42,16.255,0.3635064340810032
COFs,Adapter,42,16.32,0.3635064340810032
COFs,Adapter,42,17.32,0.3635064340810032
COFs,Adapter,42,17.385,0.3635064340810032
COFs,Adapter,42,17.45,0.3635064340810032
COFs,Adapter,42,17.515,0.3635064340810032
COFs,Adapter,42,17.58,0.3635064340810032
COFs,Adapter,42,17.645,0.3635064340810032
COFs,Adapter,42,17.71,0.3635064340810032
COFs,Adapter,42,17.775,0.3635064340810032
COFs,Adapter,42,17.84,0.3635064340810032
COFs,Adapter,42,17.905,0.3635064340810032
COFs,Adapter,42,17.97,0.3635064340810032
COFs,Adapter,42,18.035,0.3635064340810032
COFs,Adapter,42,18.1,0.3635064340810032
COFs,Adapter,42,18.165,0.3635064340810032
COFs,Adapter,42,18.23,0.3635064340810032
COFs,Adapter,42,18.295,0.3635064340810032
COFs,Adapter,42,19.295,0.0
COFs,Adapter,42,19.36,0.0
COFs,Adapter,42,19.425,0.0
COFs,Adapter,42,19.49,0.0
COFs,Adapter,42,19.555,0.0
COFs,Adapter,42,19.62,0.0
COFs,Adapter,42,19.685,0.0
COFs,Adapter,42,19.75,0.0
COFs,Adapter,42,19.815,0.0
COFs,Adapter,42,19.88,0.0
COFs,Adapter,42,19.945,0.0
COFs,Adapter,42,20.01,0.0
COFs,Adapter,42,20.075,0.0
COFs,Adapter,42,20.14,0.0
COFs,Adapter,42,20.205,0.0
COFs,Adapter,42,20.27,0.0
COFs,Adapter,42,21.27,0.0
COFs,Adapter,42,21.335,0.0
COFs,Adapter,42,21.4,0.0
COFs,Adapter,42,21.465,0.0
COFs,Adapter,42,21.53,0.0
COFs,Adapter,42,21.595,0.0
COFs,Adapter,42,21.66,0.0
COFs,Adapter,42,21.725,0.0
COFs,Adapter,42,21.79,0.0
COFs,Adapter,42,21.855,0.0
COFs,Adapter,42,21.92,0.0
COFs,Adapter,42,21.985,0.0
COFs,Adapter,42,22.05,0.0
COFs,Adapter,42,22.115,0.0
COFs,Adapter,42,22.18,0.0
COFs,Adapter,42,22.245,0.0
COFs,Adapter,42,23.245,0.0
COFs,Adapter,42,23.31,0.0
COFs,Adapter,42,23.375,0.0
COFs,Adapter,42,23.44,0.0
COFs,Adapter,42,23.505,0.0
COFs,Adapter,42,23.57,0.0
COFs,Adapter,42,23.635,0.0
COFs,Adapter,42,23.7,0.0
COFs,Adapter,42,23.765,0.0
COFs,Adapter,42,23.83,0.0
COFs,Adapter,42,23.895,0.0
COFs,Adapter,42,23.96,0.0
COFs,Adapter,42,24.025,0.0
COFs,Adapter,42,24.09,0.0
COFs,Adapter,42,24.155,0.0
COFs,Adapter,42,24.22,0.0
COFs,Adapter,42,25.22,0.0
COFs,Adapter,42,25.285,0.0
COFs,Adapter,42,25.35,0.0
COFs,Adapter,42,25.415,0.0
COFs,Adapter,42,25.48,0.0
COFs,Adapter,42,25.545,0.0
COFs,Adapter,42,25.61,0.0
COFs,Adapter,42,25.675,0.0
COFs,Adapter,42,25.74,0.0
COFs,Adapter,42,25.805,0.0
COFs,Adapter,42,25.87,0.0
COFs,Adapter,42,25.935,0.0
COFs,Adapter,42,26.0,0.0
COFs,Adapter,42,26.065,0.0
COFs,Adapter,42,26.13,0.0
COFs,Adapter,42,26.195,0.0
COFs,Adapter,42,27.195,0.0
COFs,Adapter,42,27.26,0.0
COFs,Adapter,42,27.325,0.0
COFs,Adapter,42,27.39,0.0
COFs,Adapter,42,27.455,0.0
COFs,Adapter,42,27.52,0.0
COFs,Adapter,42,27.585,0.0
COFs,Adapter,42,27.65,0.0
COFs,Adapter,42,27.715,0.0
COFs,Adapter,42,27.78,0.0
COFs,Adapter,42,27.845,0.0
COFs,Adapter,42,27.91,0.0
COFs,Adapter,42,27.975,0.0
COFs,Adapter,42,28.04,0.0
COFs,Adapter,42,28.105,0.0
COFs,Adapter,42,28.17,0.0
COFs,Adapter,42,29.17,0.0
COFs,Adapter,42,29.235,0.0
COFs,Adapter,42,29.3,0.0
COFs,Adapter,42,29.365,0.0
COFs,Adapter,42,29.43,0.0
COFs,Adapter,42,29.495,0.0
COFs,Adapter,42,29.56,0.0
COFs,Adapter,42,29.625,0.0
COFs,Adapter,42,29.69,0.0
COFs,Adapter,42,29.755,0.0
COFs,Adapter,42,29.82,0.0
COFs,Adapter,42,29.885,0.0
COFs,Adapter,42,29.95,0.0
COFs,Adapter,43,3.495,2.768421691579954
COFs,Adapter,43,3.56,2.768421691579954
COFs,Adapter,43,3.625,2.768421691579954
COFs,Adapter,43,3.69,2.768421691579954
COFs,Adapter,43,3.755,2.768421691579954
COFs,Adapter,43,3.82,2.768421691579954
COFs,Adapter,43,3.885,2.768421691579954
COFs,Adapter,43,3.95,2.768421691579954
COFs,Adapter,43,4.015,2.768421691579954
COFs,Adapter,43,4.08,2.768421691579954
COFs,Adapter,43,4.145,2.768421691579954
COFs,Adapter,43,4.21,2.768421691579954
COFs,Adapter,43,4.275,2.768421691579954
COFs,Adapter,43,4.34,2.768421691579954
COFs,Adapter,43,4.405,2.768421691579954
COFs,Adapter,43,4.47,2.768421691579954
COFs,Adapter,43,5.47,2.768421691579954
COFs,Adapter,43,5.535,2.768421691579954
COFs,Adapter,43,5.6,2.768421691579954
COFs,Adapter,43,5.665,2.768421691579954
COFs,Adapter,43,5.73,2.768421691579954
COFs,Adapter,43,5.795,2.768421691579954
COFs,Adapter,43,5.86,2.768421691579954
COFs,Adapter,43,5.925,2.768421691579954
COFs,Adapter,43,5.99,2.768421691579954
COFs,Adapter,43,6.055,2.768421691579954
COFs,Adapter,43,6.12,2.768421691579954
COFs,Adapter,43,6.185,2.768421691579954
COFs,Adapter,43,6.25,2.768421691579954
COFs,Adapter,43,6.315,2.768421691579954
COFs,Adapter,43,6.38,2.768421691579954
COFs,Adapter,43,6.445,2.768421691579954
COFs,Adapter,43,7.445,2.768421691579954
COFs,Adapter,43,7.51,2.768421691579954
COFs,Adapter,43,7.575,2.768421691579954
COFs,Adapter,43,7.64,2.768421691579954
COFs,Adapter,43,7.705,2.768421691579954
COFs,Adapter,43,7.77,2.768421691579954
COFs,Adapter,43,7.835,2.768421691579954
COFs,Adapter,43,7.9,2.768421691579954
COFs,Adapter,43,7.965,2.768421691579954
COFs,Adapter,43,8.03,2.768421691579954
COFs,Adapter,43,8.095,2.768421691579954
COFs,Adapter,43,8.16,2.768421691579954
COFs,Adapter,43,8.225,2.768421691579954
COFs,Adapter,43,8.29,2.768421691579954
COFs,Adapter,43,8.355,2.768421691579954
COFs,Adapter,43,8.42,2.768421691579954
COFs,Adapter,43,9.42,2.768421691579954
COFs,Adapter,43,9.485,2.768421691579954
COFs,Adapter,43,9.55,2.768421691579954
COFs,Adapter,43,9.615,2.768421691579954
COFs,Adapter,43,9.68,2.768421691579954
COFs,Adapter,43,9.745,2.768421691579954
COFs,Adapter,43,9.81,2.768421691579954
COFs,Adapter,43,9.875,2.768421691579954
COFs,Adapter,43,9.94,2.768421691579954
COFs,Adapter,43,10.005,2.768421691579954
COFs,Adapter,43,10.07,2.768421691579954
COFs,Adapter,43,10.135,2.768421691579954
COFs,Adapter,43,10.2,2.768421691579954
COFs,Adapter,43,10.265,2.768421691579954
COFs,Adapter,43,10.33,2.768421691579954
COFs,Adapter,43,10.395,2.768421691579954
COFs,Adapter,43,11.395,0.3635064340810032
COFs,Adapter,43,11.46,0.3635064340810032
COFs,Adapter,43,11.525,0.3635064340810032
COFs,Adapter,43,11.59,0.3635064340810032
COFs,Adapter,43,11.655,0.3635064340810032
COFs,Adapter,43,11.72,0.3635064340810032
COFs,Adapter,43,11.785,0.3635064340810032
COFs,Adapter,43,11.85,0.3635064340810032
