benchmark,model,seed,budget,regret
COFs,NARGP,42,3.495,15.411634978620436
COFs,NARGP,42,3.56,15.411634978620436
COFs,NARGP,42,3.625,15.411634978620436
COFs,NARGP,42,3.69,15.411634978620436
COFs,NARGP,42,3.755,15.411634978620436
COFs,NARGP,42,3.82,15.411634978620436
COFs,NARGP,42,3.885,15.411634978620436
COFs,NARGP,42,3.95,15.411634978620436
COFs,NARGP,42,4.015,15.411634978620436
COFs,NARGP,42,4.08,15.411634978620436
COFs,NARGP,42,4.145,15.411634978620436
COFs,NARGP,42,4.21,15.411634978620436
COFs,NARGP,42,4.275,15.411634978620436
COFs,NARGP,42,4.34,15.411634978620436
COFs,NARGP,42,4.405,15.411634978620436
COFs,NARGP,42,4.47,15.411634978620436
COFs,NARGP,42,5.47,14.89594214837237
COFs,NARGP,42,5.535,14.89594214837237
COFs,NARGP,42,5.6,14.89594214837237
COFs,NARGP,42,5.665,14.89594214837237
COFs,NARGP,42,5.73,14.89594214837237
COFs,NARGP,42,5.795,14.89594214837237
COFs,NARGP,42,5.86,14.89594214837237
COFs,NARGP,42,5.925,14.89594214837237
COFs,NARGP,42,5.99,14.89594214837237
COFs,NARGP,42,6.055,14.89594214837237
COFs,NARGP,42,6.12,14.89594214837237
COFs,NARGP,42,6.185,14.89594214837237
COFs,NARGP,42,6.25,14.89594214837237
COFs,NARGP,42,6.315,14.89594214837237
COFs,NARGP,42,6.38,14.89594214837237
COFs,NARGP,42,6.445,14.89594214837237
COFs,NARGP,42,7.445,14.89594214837237
COFs,NARGP,42,7.51,14.89594214837237
COFs,NARGP,42,7.575,14.89594214837237
COFs,NARGP,42,7.64,14.89594214837237
COFs,NARGP,42,7.705,14.89594214837237
COFs,NARGP,42,7.77,14.89594214837237
COFs,NARGP,42,7.835,14.89594214837237
COFs,NARGP,42,7.9,14.89594214837237
COFs,NARGP,42,7.965,14.89594214837237
COFs,NARGP,42,8.03,14.89594214837237
COFs,NARGP,42,8.095,14.89594214837237
COFs,NARGP,42,8.16,14.89594214837237
COFs,NARGP,42,8.225,14.89594214837237
COFs,NARGP,42,8.29,14.89594214837237
COFs,NARGP,42,8.355,14.89594214837237
COFs,NARGP,42,8.42,14.89594214837237
COFs,NARGP,42,9.42,14.361055693751313
COFs,NARGP,42,9.485,14.361055693751313
COFs,NARGP,42,9.55,14.361055693751313
COFs,NARGP,42,9.615,14.361055693751313
COFs,NARGP,42,9.68,14.361055693751313
COFs,NARGP,42,9.745,14.361055693751313
COFs,NARGP,42,9.81,14.361055693751313
COFs,NARGP,42,9.875,14.361055693751313
COFs,NARGP,42,9.94,14.361055693751313
COFs,NARGP,42,10.005,14.361055693751313
COFs,NARGP,42,10.07,14.361055693751313
COFs,NARGP,42,10.135,14.361055693751313
COFs,NARGP,42,10.2,14.361055693751313
COFs,NARGP,42,10.265,14.361055693751313
COFs,NARGP,42,10.33,14.361055693751313
COFs,NARGP,42,10.395,14.361055693751313
COFs,NARGP,42,11.395,14.361055693751313
COFs,NARGP,42,11.46,14.361055693751313
COFs,NARGP,42,11.525,14.361055693751313
COFs,NARGP,42,11.59,14.361055693751313
COFs,NARGP,42,11.655,14.361055693751313
COFs,NARGP,42,11.72,14.361055693751313
COFs,NARGP,42,11.785,14.361055693751313
COFs,NARGP,42,11.85,14.361055693751313
COFs,NARGP,42,11.915,14.361055693751313
COFs,NARGP,42,11.98,14.361055693751313
COFs,NARGP,42,12.045,14.361055693751313
COFs,NARGP,42,12.11,14.361055693751313
COFs,NARGP,42,12.175,14.361055693751313
COFs,NARGP,42,12.24,14.361055693751313
COFs,NARGP,42,12.305,14.361055693751313
COFs,NARGP,42,12.37,14.361055693751313
COFs,NARGP,42,13.37,14.361055693751313
COFs,NARGP,42,13.435,14.361055693751313
COFs,NARGP,42,13.5,14.361055693751313
COFs,NARGP,42,13.565,14.361055693751313
COFs,NARGP,42,13.63,14.361055693751313
COFs,NARGP,42,13.695,14.361055693751313
COFs,NARGP,42,13.76,14.361055693751313
COFs,NARGP,42,13.825,14.361055693751313
COFs,NARGP,42,13.89,14.361055693751313
COFs,NARGP,42,13.955,14.361055693751313
COFs,NARGP,42,14.02,14.361055693751313
COFs,NARGP,42,14.085,14.361055693751313
COFs,NARGP,42,14.15,14.361055693751313
COFs,NARGP,42,14.215,14.361055693751313
COFs,NARGP,42,14.28,14.361055693751313
COFs,NARGP,42,14.345,14.361055693751313
COFs,NARGP,42,15.345,14.361055693751313
COFs,NARGP,42,15.41,14.361055693751313
COFs,NARGP,42,15.475,14.361055693751313
COFs,NARGP,42,15.54,14.361055693751313
COFs,NARGP,42,15.605,14.361055693751313
COFs,NARGP,42,15.67,14.361055693751313
COFs,NARGP,42,15.735,14.361055693751313
COFs,NARGP,42,15.8,14.361055693751313
COFs,NARGP,42,15.865,14.361055693751313
COFs,NARGP,42,15.93,14.361055693751313
COFs,NARGP,42,15.995,14.361055693751313
COFs,NARGP,42,16.06,14.361055693751313
COFs,NARGP,42,16.125,14.361055693751313
COFs,NARGP,42,16.19,14.361055693751313
COFs,NARGP,42,16.255,14.361055693751313
COFs,NARGP,42,16.32,14.361055693751313
COFs,NARGP,42,17.32,14.361055693751313
COFs,NARGP,42,17.385,14.361055693751313
COFs,NARGP,42,17.45,14.361055693751313
COFs,NARGP,42,17.515,14.361055693751313
COFs,NARGP,42,17.58,14.361055693751313
