benchmark,model,seed,budget,regret
COFs,Sequential,42,3.495,15.411634978620436
COFs,Sequential,42,3.56,15.411634978620436
COFs,Sequential,42,3.625,15.411634978620436
COFs,Sequential,42,3.69,15.411634978620436
COFs,Sequential,42,3.755,15.411634978620436
COFs,Sequential,42,3.82,15.411634978620436
COFs,Sequential,42,3.885,15.411634978620436
COFs,Sequential,42,3.95,15.411634978620436
COFs,Sequential,42,4.015,15.411634978620436
COFs,Sequential,42,4.08,15.411634978620436
COFs,Sequential,42,4.145,15.411634978620436
COFs,Sequential,42,4.21,15.411634978620436
COFs,Sequential,42,4.275,15.411634978620436
COFs,Sequential,42,4.34,15.411634978620436
COFs,Sequential,42,4.405,15.411634978620436
COFs,Sequential,42,4.47,15.411634978620436
COFs,Sequential,42,5.47,4.516970590908455
COFs,Sequential,42,5.535,4.516970590908455
COFs,Sequential,42,5.6,4.516970590908455
COFs,Sequential,42,5.665,4.516970590908455
COFs,Sequential,42,5.73,4.516970590908455
COFs,Sequential,42,5.795,4.516970590908455
COFs,Sequential,42,5.86,4.516970590908455
COFs,Sequential,42,5.925,4.516970590908455
COFs,Sequential,42,5.99,4.516970590908455
COFs,Sequential,42,6.055,4.516970590908455
COFs,Sequential,42,6.12,4.516970590908455
COFs,Sequential,42,6.185,4.516970590908455
COFs,Sequential,42,6.25,4.516970590908455
COFs,Sequential,42,6.315,4.516970590908455
COFs,Sequential,42,6.38,4.516970590908455
COFs,Sequential,42,6.445,4.516970590908455
COFs,Sequential,42,7.445,1.6834527522225675
COFs,Sequential,42,7.51,1.6834527522225675
COFs,Sequential,42,7.575,1.6834527522225675
COFs,Sequential,42,7.64,1.6834527522225675
COFs,Sequential,42,7.705,1.6834527522225675
COFs,Sequential,42,7.77,1.6834527522225675
COFs,Sequential,42,7.835,1.6834527522225675
COFs,Sequential,42,7.9,1.6834527522225675
COFs,Sequential,42,7.965,1.6834527522225675
COFs,Sequential,42,8.03,1.6834527522225675
COFs,Sequential,42,8.095,1.6834527522225675
COFs,Sequential,42,8.16,1.6834527522225675
COFs,Sequential,42,8.225,1.6834527522225675
COFs,Sequential,42,8.29,1.6834527522225675
COFs,Sequential,42,8.355,1.6834527522225675
COFs,Sequential,42,8.42,1.6834527522225675
COFs,Sequential,42,9.42,1.6834527522225675
COFs,Sequential,42,9.485,1.6834527522225675
COFs,Sequential,42,9.55,1.6834527522225675
COFs,Sequential,42,9.615,1.6834527522225675
COFs,Sequential,42,9.68,1.6834527522225675
COFs,Sequential,42,9.745,1.6834527522225675
COFs,Sequential,42,9.81,1.6834527522225675
COFs,Sequential,42,9.875,1.6834527522225675
COFs,Sequential,42,9.94,1.6834527522225675
COFs,Sequential,42,10.005,1.6834527522225675
COFs,Sequential,42,10.07,1.6834527522225675
COFs,Sequential,42,10.135,1.6834527522225675
COFs,Sequential,42,10.2,1.6834527522225675
COFs,Sequential,42,10.265,1.6834527522225675
COFs,Sequential,42,10.33,1.6834527522225675
COFs,Sequential,42,10.395,1.6834527522225675
COFs,Sequential,42,11.395,0.0
COFs,Sequential,42,11.46,0.0
COFs,Sequential,42,11.525,0.0
COFs,Sequential,42,11.59,0.0
COFs,Sequential,42,11.655,0.0
COFs,Sequential,42,11.72,0.0
COFs,Sequential,42,11.785,0.0
COFs,Sequential,42,11.85,0.0
COFs,Sequential,42,11.915,0.0
COFs,Sequential,42,11.98,0.0
COFs,Sequential,42,12.045,0.0
COFs,Sequential,42,12.11,0.0
COFs,Sequential,42,12.175,0.0
COFs,Sequential,42,12.24,0.0
COFs,Sequential,42,12.305,0.0
COFs,Sequential,42,12.37,0.0
COFs,Sequential,42,13.37,0.0
COFs,Sequential,42,13.435,0.0
COFs,Sequential,42,13.5,0.0
COFs,Sequential,42,13.565,0.0
COFs,Sequential,42,13.63,0.0
COFs,Sequential,42,13.695,0.0
COFs,Sequential,42,13.76,0.0
COFs,Sequential,42,13.825,0.0
COFs,Sequential,42,13.89,0.0
COFs,Sequential,42,13.955,0.0
COFs,Sequential,42,14.02,0.0
COFs,Sequential,42,14.085,0.0
COFs,Sequential,42,14.15,0.0
COFs,Sequential,42,14.215,0.0
COFs,Sequential,42,14.28,0.0
COFs,Sequential,42,14.345,0.0
COFs,Sequential,42,15.345,0.0
COFs,Sequential,42,15.41,0.0
COFs,Sequential,42,15.475,0.0
COFs,Sequential,42,15.54,0.0
COFs,Sequential,42,15.605,0.0
COFs,Sequential,42,15.67,0.0
COFs,Sequential,42,15.735,0.0
COFs,Sequential,42,15.8,0.0
COFs,Sequential,42,15.865,0.0
COFs,Sequential,42,15.93,0.0
COFs,Sequential,42,15.995,0.0
COFs,Sequential,42,16.06,0.0
COFs,Sequential,42,16.125,0.0
COFs,Sequential,42,16.19,0.0
COFs,Sequential,42,16.255,0.0
COFs,Sequential,42,16.32,0.0
COFs,Sequential,42,17.32,0.0
COFs,Sequential,42,17.385,0.0
COFs,Sequential,42,17.45,0.0
COFs,Sequential,42,17.515,0.0
COFs,Sequential,42,17.58,0.0
COFs,Sequential,42,17.645,0.0
COFs,Sequential,42,17.71,0.0
COFs,Sequential,42,17.775,0.0
COFs,Sequential,42,17.84,0.0
COFs,Sequential,42,17.905,0.0
COFs,Sequential,42,17.97,0.0
COFs,Sequential,42,18.035,0.0
COFs,Sequential,42,18.1,0.0
COFs,Sequential,42,18.165,0.0
COFs,Sequential,42,18.23,0.0
COFs,Sequential,42,18.295,0.0
COFs,Sequential,42,19.295,0.0
COFs,Sequential,42,19.36,0.0
COFs,Sequential,42,19.425,0.0
COFs,Sequential,42,19.49,0.0
COFs,Sequential,42,19.555,0.0
COFs,Sequential,42,19.62,0.0
COFs,Sequential,42,19.685,0.0
COFs,Sequential,42,19.75,0.0
COFs,Sequential,42,19.815,0.0
COFs,Sequential,42,19.88,0.0
COFs,Sequential,42,19.945,0.0
COFs,Sequential,42,20.01,0.0
COFs,Sequential,42,20.075,0.0
COFs,Sequential,42,20.14,0.0
COFs,Sequential,42,20.205,0.0
COFs,Sequential,42,20.27,0.0
COFs,Sequential,42,21.27,0.0
COFs,Sequential,42,21.335,0.0
COFs,Sequential,42,21.4,0.0
COFs,Sequential,42,21.465,0.0
COFs,Sequential,42,21.53,0.0
COFs,Sequential,42,21.595,0.0
COFs,Sequential,42,21.66,0.0
COFs,Sequential,42,21.725,0.0
COFs,Sequential,42,21.79,0.0
COFs,Sequential,42,21.855,0.0
COFs,Sequential,42,21.92,0.0
COFs,Sequential,42,21.985,0.0
COFs,Sequential,42,22.05,0.0
COFs,Sequential,42,22.115,0.0
COFs,Sequential,42,22.18,0.0
COFs,Sequential,42,22.245,0.0
COFs,Sequential,42,23.245,0.0
COFs,Sequential,42,23.31,0.0
COFs,Sequential,42,23.375,0.0
COFs,Sequential,42,23.44,0.0
COFs,Sequential,42,23.505,0.0
COFs,Sequential,42,23.57,0.0
COFs,Sequential,42,23.635,0.0
COFs,Sequential,42,23.7,0.0
COFs,Sequential,42,23.765,0.0
COFs,Sequential,42,23.83,0.0
COFs,Sequential,42,23.895,0.0
COFs,Sequential,42,23.96,0.0
COFs,Sequential,42,24.025,0.0
COFs,Sequential,42,24.09,0.0
COFs,Sequential,42,24.155,0.0
COFs,Sequential,42,24.22,0.0
COFs,Sequential,42,25.22,0.0
COFs,Sequential,42,25.285,0.0
COFs,Sequential,42,25.35,0.0
COFs,Sequential,42,25.415,0.0
COFs,Sequential,42,25.48,0.0
COFs,Sequential,42,25.545,0.0
COFs,Sequential,42,25.61,0.0
COFs,Sequential,42,25.675,0.0
COFs,Sequential,42,25.74,0.0
COFs,Sequential,42,25.805,0.0
COFs,Sequential,42,25.87,0.0
COFs,Sequential,42,25.935,0.0
COFs,Sequential,42,26.0,0.0
COFs,Sequential,42,26.065,0.0
COFs,Sequential,42,26.13,0.0
COFs,Sequential,42,26.195,0.0
COFs,Sequential,42,27.195,0.0
COFs,Sequential,42,27.26,0.0
COFs,Sequential,42,27.325,0.0
COFs,Sequential,42,27.39,0.0
COFs,Sequential,42,27.455,0.0
COFs,Sequential,42,27.52,0.0
COFs,Sequential,42,27.585,0.0
COFs,Sequential,42,27.65,0.0
COFs,Sequential,42,27.715,0.0
COFs,Sequential,42,27.78,0.0
COFs,Sequential,42,27.845,0.0
COFs,Sequential,42,27.91,0.0
COFs,Sequential,42,27.975,0.0
COFs,Sequential,42,28.04,0.0
COFs,Sequential,42,28.105,0.0
COFs,Sequential,42,28.17,0.0
COFs,Sequential,42,29.17,0.0
COFs,Sequential,42,29.235,0.0
COFs,Sequential,42,29.3,0.0
COFs,Sequential,42,29.365,0.0
COFs,Sequential,42,29.43,0.0
COFs,Sequential,42,29.495,0.0
COFs,Sequential,42,29.56,0.0
COFs,Sequential,42,29.625,0.0
COFs,Sequential,42,29.69,0.0
COFs,Sequential,42,29.755,0.0
COFs,Sequential,42,29.82,0.0
COFs,Sequential,42,29.885,0.0
COFs,Sequential,42,29.95,0.0
COFs,Sequential,43,3.495,2.768421691579954
COFs,Sequential,43,3.56,2.768421691579954
COFs,Sequential,43,3.625,2.768421691579954
COFs,Sequential,43,3.69,2.768421691579954
COFs,Sequential,43,3.755,2.768421691579954
COFs,Sequential,43,3.82,2.768421691579954
COFs,Sequential,43,3.885,2.768421691579954
COFs,Sequential,43,3.95,2.768421691579954
COFs,Sequential,43,4.015,2.768421691579954
COFs,Sequential,43,4.08,2.768421691579954
COFs,Sequential,43,4.145,2.768421691579954
COFs,Sequential,43,4.21,2.768421691579954
COFs,Sequential,43,4.275,2.768421691579954
COFs,Sequential,43,4.34,2.768421691579954
COFs,Sequential,43,4.405,2.768421691579954
COFs,Sequential,43,4.47,2.768421691579954
COFs,Sequential,43,5.47,2.768421691579954
COFs,Sequential,43,5.535,2.768421691579954
COFs,Sequential,43,5.6,2.768421691579954
COFs,Sequential,43,5.665,2.768421691579954
COFs,Sequential,43,5.73,2.768421691579954
COFs,Sequential,43,5.795,2.768421691579954
COFs,Sequential,43,5.86,2.768421691579954
COFs,Sequential,43,5.925,2.768421691579954
COFs,Sequential,43,5.99,2.768421691579954
COFs,Sequential,43,6.055,2.768421691579954
COFs,Sequential,43,6.12,2.768421691579954
COFs,Sequential,43,6.185,2.768421691579954
COFs,Sequential,43,6.25,2.768421691579954
COFs,Sequential,43,6.315,2.768421691579954
COFs,Sequential,43,6.38,2.768421691579954
COFs,Sequential,43,6.445,2.768421691579954
COFs,Sequential,43,7.445,2.768421691579954
COFs,Sequential,43,7.51,2.768421691579954
COFs,Sequential,43,7.575,2.768421691579954
COFs,Sequential,43,7.64,2.768421691579954
COFs,Sequential,43,7.705,2.768421691579954
COFs,Sequential,43,7.77,2.768421691579954
COFs,Sequential,43,7.835,2.768421691579954
COFs,Sequential,43,7.9,2.768421691579954
COFs,Sequential,43,7.965,2.768421691579954
COFs,Sequential,43,8.03,2.768421691579954
COFs,Sequential,43,8.095,2.768421691579954
COFs,Sequential,43,8.16,2.768421691579954
COFs,Sequential,43,8.225,2.768421691579954
COFs,Sequential,43,8.29,2.768421691579954
COFs,Sequential,43,8.355,2.768421691579954
COFs,Sequential,43,8.42,2.768421691579954
COFs,Sequential,43,9.42,1.6834527522225675
COFs,Sequential,43,9.485,1.6834527522225675
COFs,Sequential,43,9.55,1.6834527522225675
COFs,Sequential,43,9.615,1.6834527522225675
COFs,Sequential,43,9.68,1.6834527522225675
COFs,Sequential,43,9.745,1.6834527522225675
COFs,Sequential,43,9.81,1.6834527522225675
COFs,Sequential,43,9.875,1.6834527522225675
COFs,Sequential,43,9.94,1.6834527522225675
COFs,Sequential,43,10.005,1.6834527522225675
COFs,Sequential,43,10.07,1.6834527522225675
COFs,Sequential,43,10.135,1.6834527522225675
COFs,Sequential,43,10.2,1.6834527522225675
COFs,Sequential,43,10.265,1.6834527522225675
COFs,Sequential,43,10.33,1.6834527522225675
COFs,Sequential,43,10.395,1.6834527522225675
COFs,Sequential,43,11.395,1.6834527522225675
COFs,Sequential,43,11.46,1.6834527522225675
COFs,Sequential,43,11.525,1.6834527522225675
COFs,Sequential,43,11.59,1.6834527522225675
COFs,Sequential,43,11.655,1.6834527522225675
COFs,Sequential,43,11.72,1.6834527522225675
