benchmark,model,seed,budget,regret
HOPV15,Progressive,42,3.5,8.19
HOPV15,Progressive,42,3.6,8.19
HOPV15,Progressive,42,3.7,8.19
HOPV15,Progressive,42,3.8,8.19
HOPV15,Progressive,42,3.9,8.19
HOPV15,Progressive,42,4.0,8.19
HOPV15,Progressive,42,4.1,8.19
HOPV15,Progressive,42,4.2,8.19
HOPV15,Progressive,42,4.3,8.19
HOPV15,Progressive,42,4.4,8.19
HOPV15,Progressive,42,4.5,8.19
HOPV15,Progressive,42,5.5,6.67
HOPV15,Progressive,42,5.6,6.67
HOPV15,Progressive,42,5.7,6.67
HOPV15,Progressive,42,5.8,6.67
HOPV15,Progressive,42,5.9,6.67
HOPV15,Progressive,42,6.0,6.67
HOPV15,Progressive,42,6.1,6.67
HOPV15,Progressive,42,6.2,6.67
HOPV15,Progressive,42,6.3,6.67
HOPV15,Progressive,42,6.4,6.67
HOPV15,Progressive,42,6.5,6.67
HOPV15,Progressive,42,7.5,6.14
HOPV15,Progressive,42,7.6,6.14
HOPV15,Progressive,42,7.7,6.14
HOPV15,Progressive,42,7.8,6.14
HOPV15,Progressive,42,7.9,6.14
HOPV15,Progressive,42,8.0,6.14
HOPV15,Progressive,42,8.1,6.14
HOPV15,Progressive,42,8.2,6.14
HOPV15,Progressive,42,8.3,6.14
HOPV15,Progressive,42,8.4,6.14
HOPV15,Progressive,42,8.5,6.14
HOPV15,Progressive,42,9.5,5.199999999999999
HOPV15,Progressive,42,9.6,5.199999999999999
HOPV15,Progressive,42,9.7,5.199999999999999
HOPV15,Progressive,42,9.8,5.199999999999999
HOPV15,Progressive,42,9.9,5.199999999999999
HOPV15,Progressive,42,10.0,5.199999999999999
HOPV15,Progressive,42,10.1,5.199999999999999
HOPV15,Progressive,42,10.2,5.199999999999999
HOPV15,Progressive,42,10.3,5.199999999999999
HOPV15,Progressive,42,10.4,5.199999999999999
HOPV15,Progressive,42,10.5,5.199999999999999
HOPV15,Progressive,42,11.5,3.499999999999999
HOPV15,Progressive,42,11.6,3.499999999999999
HOPV15,Progressive,42,11.7,3.499999999999999
HOPV15,Progressive,42,11.8,3.499999999999999
HOPV15,Progressive,42,11.9,3.499999999999999
HOPV15,Progressive,42,12.0,3.499999999999999
HOPV15,Progressive,42,12.1,3.499999999999999
