benchmark,model,seed,budget,regret
Matbench-Gap,DKL,42,3.0,1.4
Matbench-Gap,DKL,42,3.05,1.4
Matbench-Gap,DKL,42,3.1,1.4
Matbench-Gap,DKL,42,3.15,1.4
Matbench-Gap,DKL,42,3.2,1.4
Matbench-Gap,DKL,42,3.25,1.4
Matbench-Gap,DKL,42,3.3,1.4
Matbench-Gap,DKL,42,3.35,1.4
Matbench-Gap,DKL,42,3.4,1.4
Matbench-Gap,DKL,42,3.45,1.4
Matbench-Gap,DKL,42,3.5,1.4
Matbench-Gap,DKL,42,3.55,1.4
Matbench-Gap,DKL,42,3.6,1.4
Matbench-Gap,DKL,42,3.65,1.4
Matbench-Gap,DKL,42,3.7,1.4
Matbench-Gap,DKL,42,3.75,1.4
Matbench-Gap,DKL,42,3.8,1.4
Matbench-Gap,DKL,42,3.85,1.4
Matbench-Gap,DKL,42,3.9,1.4
Matbench-Gap,DKL,42,3.95,1.4
Matbench-Gap,DKL,42,4.0,1.4
Matbench-Gap,DKL,42,5.0,0.5
Matbench-Gap,DKL,42,5.05,0.5
Matbench-Gap,DKL,42,5.1,0.5
Matbench-Gap,DKL,42,5.15,0.5
Matbench-Gap,DKL,42,5.2,0.5
Matbench-Gap,DKL,42,5.25,0.5
Matbench-Gap,DKL,42,5.3,0.5
Matbench-Gap,DKL,42,5.35,0.5
Matbench-Gap,DKL,42,5.4,0.5
Matbench-Gap,DKL,42,5.45,0.5
Matbench-Gap,DKL,42,5.5,0.5
Matbench-Gap,DKL,42,5.55,0.5
Matbench-Gap,DKL,42,5.6,0.5
Matbench-Gap,DKL,42,5.65,0.5
Matbench-Gap,DKL,42,5.7,0.5
Matbench-Gap,DKL,42,5.75,0.5
Matbench-Gap,DKL,42,5.8,0.5
Matbench-Gap,DKL,42,5.85,0.5
Matbench-Gap,DKL,42,5.9,0.5
Matbench-Gap,DKL,42,5.95,0.5
Matbench-Gap,DKL,42,6.0,0.5
Matbench-Gap,DKL,42,7.0,0.5
Matbench-Gap,DKL,42,7.05,0.5
Matbench-Gap,DKL,42,7.1,0.5
Matbench-Gap,DKL,42,7.15,0.5
Matbench-Gap,DKL,42,7.2,0.5
Matbench-Gap,DKL,42,7.25,0.5
Matbench-Gap,DKL,42,7.3,0.5
Matbench-Gap,DKL,42,7.35,0.5
Matbench-Gap,DKL,42,7.4,0.5
Matbench-Gap,DKL,42,7.45,0.5
Matbench-Gap,DKL,42,7.5,0.5
Matbench-Gap,DKL,42,7.55,0.5
Matbench-Gap,DKL,42,7.6,0.5
Matbench-Gap,DKL,42,7.65,0.5
Matbench-Gap,DKL,42,7.7,0.5
Matbench-Gap,DKL,42,7.75,0.5
Matbench-Gap,DKL,42,7.8,0.5
