benchmark,model,seed,budget,regret
Park-Fav,NARGP,42,4.5,4.766171863111
Park-Fav,NARGP,42,4.6,4.766171863111
Park-Fav,NARGP,42,4.7,4.766171863111
Park-Fav,NARGP,42,4.8,4.766171863111
Park-Fav,NARGP,42,4.9,4.766171863111
Park-Fav,NARGP,42,5.0,4.766171863111
Park-Fav,NARGP,42,5.1,4.766171863111
Park-Fav,NARGP,42,5.2,4.766171863111
Park-Fav,NARGP,42,5.3,4.766171863111
Park-Fav,NARGP,42,5.4,4.766171863111
Park-Fav,NARGP,42,5.5,4.766171863111
Park-Fav,NARGP,42,6.5,4.766171863111
Park-Fav,NARGP,42,6.6,4.766171863111
Park-Fav,NARGP,42,6.7,4.766171863111
Park-Fav,NARGP,42,6.8,4.766171863111
Park-Fav,NARGP,42,6.9,4.766171863111
Park-Fav,NARGP,42,7.0,4.766171863111
Park-Fav,NARGP,42,7.1,4.766171863111
Park-Fav,NARGP,42,7.2,4.766171863111
Park-Fav,NARGP,42,7.3,4.766171863111
Park-Fav,NARGP,42,7.4,4.766171863111
Park-Fav,NARGP,42,7.5,4.766171863111
Park-Fav,NARGP,42,8.5,4.6971362701588015
Park-Fav,NARGP,42,8.6,4.6971362701588015
Park-Fav,NARGP,42,8.7,4.6971362701588015
Park-Fav,NARGP,42,8.8,4.6971362701588015
Park-Fav,NARGP,42,8.9,4.6971362701588015
Park-Fav,NARGP,42,9.0,4.6971362701588015
Park-Fav,NARGP,42,9.1,4.6971362701588015
Park-Fav,NARGP,42,9.2,4.6971362701588015
Park-Fav,NARGP,42,9.3,4.6971362701588015
Park-Fav,NARGP,42,9.4,4.6971362701588015
Park-Fav,NARGP,42,9.5,4.6971362701588015
Park-Fav,NARGP,42,10.5,4.530469605367135
Park-Fav,NARGP,42,10.6,4.530469605367135
Park-Fav,NARGP,42,10.7,4.530469605367135
Park-Fav,NARGP,42,10.8,4.530469605367135
Park-Fav,NARGP,42,10.9,4.530469605367135
Park-Fav,NARGP,42,11.0,4.530469605367135
Park-Fav,NARGP,42,11.1,4.530469605367135
Park-Fav,NARGP,42,11.2,4.530469605367135
Park-Fav,NARGP,42,11.3,4.530469605367135
Park-Fav,NARGP,42,11.4,4.530469605367135
Park-Fav,NARGP,42,11.5,4.530469605367135
Park-Fav,NARGP,42,12.5,3.7910423217141207
Park-Fav,NARGP,42,12.6,3.7910423217141207
Park-Fav,NARGP,42,12.7,3.7910423217141207
Park-Fav,NARGP,42,12.8,3.7910423217141207
Park-Fav,NARGP,42,12.9,3.7910423217141207
Park-Fav,NARGP,42,13.0,3.7910423217141207
Park-Fav,NARGP,42,13.1,3.7910423217141207
Park-Fav,NARGP,42,13.2,3.7910423217141207
Park-Fav,NARGP,42,13.3,3.7910423217141207
Park-Fav,NARGP,42,13.4,3.7910423217141207
Park-Fav,NARGP,42,13.5,3.7910423217141207
Park-Fav,NARGP,42,14.5,3.7910423217141207
Park-Fav,NARGP,42,14.6,3.7910423217141207
Park-Fav,NARGP,42,14.7,3.7910423217141207
Park-Fav,NARGP,42,14.8,3.7910423217141207
Park-Fav,NARGP,42,14.9,3.7910423217141207
Park-Fav,NARGP,42,15.0,3.7910423217141207
Park-Fav,NARGP,42,15.1,3.7910423217141207
Park-Fav,NARGP,42,15.2,3.7910423217141207
Park-Fav,NARGP,42,15.3,3.7910423217141207
Park-Fav,NARGP,42,15.4,3.7910423217141207
Park-Fav,NARGP,42,15.5,3.7910423217141207
Park-Fav,NARGP,42,16.5,3.7910423217141207
Park-Fav,NARGP,42,16.6,3.7910423217141207
Park-Fav,NARGP,42,16.7,3.7910423217141207
Park-Fav,NARGP,42,16.8,3.7910423217141207
Park-Fav,NARGP,42,16.9,3.7910423217141207
Park-Fav,NARGP,42,17.0,3.7910423217141207
Park-Fav,NARGP,42,17.1,3.7910423217141207
Park-Fav,NARGP,42,17.2,3.7910423217141207
Park-Fav,NARGP,42,17.3,3.7910423217141207
Park-Fav,NARGP,42,17.4,3.7910423217141207
Park-Fav,NARGP,42,17.5,3.7910423217141207
Park-Fav,NARGP,42,18.5,3.6243756625474535
Park-Fav,NARGP,42,18.6,3.6243756625474535
Park-Fav,NARGP,42,18.7,3.6243756625474535
Park-Fav,NARGP,42,18.8,3.6243756625474535
Park-Fav,NARGP,42,18.9,3.6243756625474535
Park-Fav,NARGP,42,19.0,3.6243756625474535
Park-Fav,NARGP,42,19.1,3.6243756625474535
Park-Fav,NARGP,42,19.2,3.6243756625474535
Park-Fav,NARGP,42,19.3,3.6243756625474535
Park-Fav,NARGP,42,19.4,3.6243756625474535
Park-Fav,NARGP,42,19.5,3.6243756625474535
Park-Fav,NARGP,42,20.5,3.6243756625474535
Park-Fav,NARGP,42,20.6,3.6243756625474535
Park-Fav,NARGP,42,20.7,3.6243756625474535
Park-Fav,NARGP,42,20.8,3.6243756625474535
Park-Fav,NARGP,42,20.9,3.6243756625474535
