benchmark,model,seed,budget,regret
Park-Fav,TwoStageJoint,42,4.5,4.766171863111
Park-Fav,TwoStageJoint,42,4.6,4.766171863111
Park-Fav,TwoStageJoint,42,4.7,4.766171863111
Park-Fav,TwoStageJoint,42,4.8,4.766171863111
Park-Fav,TwoStageJoint,42,4.9,4.766171863111
Park-Fav,TwoStageJoint,42,5.0,4.766171863111
Park-Fav,TwoStageJoint,42,5.1,4.766171863111
Park-Fav,TwoStageJoint,42,5.2,4.766171863111
Park-Fav,TwoStageJoint,42,5.3,4.766171863111
Park-Fav,TwoStageJoint,42,5.4,4.766171863111
Park-Fav,TwoStageJoint,42,5.5,4.766171863111
Park-Fav,TwoStageJoint,42,6.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,6.6,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,6.7,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,6.8,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,6.9,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,7.0,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,7.1,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,7.2,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,7.3,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,7.4,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,7.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,8.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,8.6,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,8.7,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,8.8,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,8.9,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,9.0,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,9.1,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,9.2,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,9.3,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,9.4,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,9.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,10.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,10.6,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,10.7,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,10.8,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,10.9,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,11.0,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,11.1,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,11.2,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,11.3,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,11.4,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,11.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,12.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,12.6,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,12.7,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,12.8,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,12.9,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,13.0,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,13.1,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,13.2,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,13.3,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,13.4,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,13.5,2.8867513315143767e-09
Park-Fav,TwoStageJoint,42,14.5,2.8867513315143767e-09
