benchmark,model,seed,budget,regret
Park-Unfav,NARGP,42,4.5,1.5057208218636944e-07
Park-Unfav,NARGP,42,5.0,1.5057208218636944e-07
Park-Unfav,NARGP,42,5.5,1.5057208218636944e-07
Park-Unfav,NARGP,42,6.5,1.499559866212635e-07
Park-Unfav,NARGP,42,7.0,1.499559866212635e-07
Park-Unfav,NARGP,42,7.5,1.499559866212635e-07
Park-Unfav,NARGP,42,8.5,1.4927451707288805e-07
Park-Unfav,NARGP,42,9.0,1.4927451707288805e-07
Park-Unfav,NARGP,42,9.5,1.4927451707288805e-07
Park-Unfav,NARGP,42,10.5,9.833356940200529e-08
Park-Unfav,NARGP,42,11.0,9.833356940200529e-08
Park-Unfav,NARGP,42,11.5,9.833356940200529e-08
Park-Unfav,NARGP,42,12.5,9.747269215780341e-08
Park-Unfav,NARGP,42,13.0,9.747269215780341e-08
Park-Unfav,NARGP,42,13.5,9.747269215780341e-08
Park-Unfav,NARGP,42,14.5,9.747269215780341e-08
Park-Unfav,NARGP,42,15.0,9.747269215780341e-08
Park-Unfav,NARGP,42,15.5,9.747269215780341e-08
Park-Unfav,NARGP,42,16.5,9.6396439978077e-08
Park-Unfav,NARGP,42,17.0,9.6396439978077e-08
Park-Unfav,NARGP,42,17.5,9.6396439978077e-08
Park-Unfav,NARGP,42,18.5,9.6396439978077e-08
Park-Unfav,NARGP,42,19.0,9.6396439978077e-08
Park-Unfav,NARGP,42,19.5,9.6396439978077e-08
Park-Unfav,NARGP,42,20.5,4.6496363495032095e-08
Park-Unfav,NARGP,42,21.0,4.6496363495032095e-08
Park-Unfav,NARGP,42,21.5,4.6496363495032095e-08
Park-Unfav,NARGP,42,22.5,4.5420111315305683e-08
Park-Unfav,NARGP,42,23.0,4.5420111315305683e-08
Park-Unfav,NARGP,42,23.5,4.5420111315305683e-08
Park-Unfav,NARGP,42,24.5,4.5420111315305683e-08
Park-Unfav,NARGP,42,25.0,4.5420111315305683e-08
Park-Unfav,NARGP,42,25.5,4.5420111315305683e-08
Park-Unfav,NARGP,42,26.5,4.3753444656972363e-08
Park-Unfav,NARGP,42,27.0,4.3753444656972363e-08
Park-Unfav,NARGP,42,27.5,4.3753444656972363e-08
Park-Unfav,NARGP,42,28.5,4.082482884226228e-09
Park-Unfav,NARGP,42,29.0,4.082482884226228e-09
Park-Unfav,NARGP,42,29.5,4.082482884226228e-09
Park-Unfav,NARGP,42,30.5,2.8867513315143767e-09
Park-Unfav,NARGP,42,31.0,2.8867513315143767e-09
Park-Unfav,NARGP,42,31.5,2.8867513315143767e-09
Park-Unfav,NARGP,42,32.5,0.0
Park-Unfav,NARGP,42,33.0,0.0
Park-Unfav,NARGP,42,33.5,0.0
Park-Unfav,NARGP,42,34.5,0.0
Park-Unfav,NARGP,42,35.0,0.0
Park-Unfav,NARGP,42,35.5,0.0
Park-Unfav,NARGP,42,36.5,0.0
Park-Unfav,NARGP,42,37.0,0.0
Park-Unfav,NARGP,42,37.5,0.0
Park-Unfav,NARGP,42,38.5,0.0
Park-Unfav,NARGP,42,39.0,0.0
Park-Unfav,NARGP,42,39.5,0.0
Park-Unfav,NARGP,42,40.5,0.0
Park-Unfav,NARGP,42,41.0,0.0
Park-Unfav,NARGP,42,41.5,0.0
Park-Unfav,NARGP,42,42.5,0.0
Park-Unfav,NARGP,42,43.0,0.0
Park-Unfav,NARGP,42,43.5,0.0
Park-Unfav,NARGP,42,44.5,0.0
Park-Unfav,NARGP,42,45.0,0.0
Park-Unfav,NARGP,42,45.5,0.0
Park-Unfav,NARGP,42,46.5,0.0
Park-Unfav,NARGP,42,47.0,0.0
Park-Unfav,NARGP,42,47.5,0.0
Park-Unfav,NARGP,42,48.5,0.0
Park-Unfav,NARGP,42,49.0,0.0
Park-Unfav,NARGP,42,49.5,0.0
Park-Unfav,NARGP,42,50.0,0.0
Park-Unfav,NARGP,43,4.5,10.873127205104907
Park-Unfav,NARGP,43,5.0,10.873127205104907
Park-Unfav,NARGP,43,5.5,10.873127205104907
Park-Unfav,NARGP,43,6.5,10.873127205104907
Park-Unfav,NARGP,43,7.0,10.873127205104907
Park-Unfav,NARGP,43,7.5,10.873127205104907
Park-Unfav,NARGP,43,8.5,10.873127205104907
Park-Unfav,NARGP,43,9.0,10.873127205104907
Park-Unfav,NARGP,43,9.5,10.873127205104907
Park-Unfav,NARGP,43,10.5,10.255708393632442
Park-Unfav,NARGP,43,11.0,10.255708393632442
Park-Unfav,NARGP,43,11.5,10.255708393632442
Park-Unfav,NARGP,43,12.5,10.255708393632442
Park-Unfav,NARGP,43,13.0,10.255708393632442
Park-Unfav,NARGP,43,13.5,10.255708393632442
Park-Unfav,NARGP,43,14.5,9.967033262285224
Park-Unfav,NARGP,43,15.0,9.967033262285224
Park-Unfav,NARGP,43,15.5,9.967033262285224
Park-Unfav,NARGP,43,16.5,9.967033262285224
Park-Unfav,NARGP,43,17.0,9.967033262285224
Park-Unfav,NARGP,43,17.5,9.967033262285224
Park-Unfav,NARGP,43,18.5,9.967033262285224
Park-Unfav,NARGP,43,19.0,9.967033262285224
Park-Unfav,NARGP,43,19.5,9.967033262285224
Park-Unfav,NARGP,43,20.5,9.967033262285224
Park-Unfav,NARGP,43,21.0,9.967033262285224
Park-Unfav,NARGP,43,21.5,9.967033262285224
Park-Unfav,NARGP,43,22.5,9.967033262285224
Park-Unfav,NARGP,43,23.0,9.967033262285224
Park-Unfav,NARGP,43,23.5,9.967033262285224
Park-Unfav,NARGP,43,24.5,9.967033262285224
Park-Unfav,NARGP,43,25.0,9.967033262285224
Park-Unfav,NARGP,43,25.5,9.967033262285224
Park-Unfav,NARGP,43,26.5,9.349614441069978
Park-Unfav,NARGP,43,27.0,9.349614441069978
Park-Unfav,NARGP,43,27.5,9.349614441069978
Park-Unfav,NARGP,43,28.5,9.349614441069978
Park-Unfav,NARGP,43,29.0,9.349614441069978
Park-Unfav,NARGP,43,29.5,9.349614441069978
Park-Unfav,NARGP,43,30.5,9.349614441069978
Park-Unfav,NARGP,43,31.0,9.349614441069978
Park-Unfav,NARGP,43,31.5,9.349614441069978
Park-Unfav,NARGP,43,32.5,9.060939319465543
Park-Unfav,NARGP,43,33.0,9.060939319465543
Park-Unfav,NARGP,43,33.5,9.060939319465543
Park-Unfav,NARGP,43,34.5,8.15484540382868
Park-Unfav,NARGP,43,35.0,8.15484540382868
Park-Unfav,NARGP,43,35.5,8.15484540382868
Park-Unfav,NARGP,43,36.5,8.15484540382868
Park-Unfav,NARGP,43,37.0,8.15484540382868
Park-Unfav,NARGP,43,37.5,8.15484540382868
Park-Unfav,NARGP,43,38.5,8.15484540382868
Park-Unfav,NARGP,43,39.0,8.15484540382868
Park-Unfav,NARGP,43,39.5,8.15484540382868
Park-Unfav,NARGP,43,40.5,8.15484540382868
Park-Unfav,NARGP,43,41.0,8.15484540382868
Park-Unfav,NARGP,43,41.5,8.15484540382868
Park-Unfav,NARGP,43,42.5,6.675990809339834
Park-Unfav,NARGP,43,43.0,6.675990809339834
Park-Unfav,NARGP,43,43.5,6.675990809339834
Park-Unfav,NARGP,43,44.5,6.675990809339834
Park-Unfav,NARGP,43,45.0,6.675990809339834
Park-Unfav,NARGP,43,45.5,6.675990809339834
Park-Unfav,NARGP,43,46.5,6.578359740795414
Park-Unfav,NARGP,43,47.0,6.578359740795414
Park-Unfav,NARGP,43,47.5,6.578359740795414
Park-Unfav,NARGP,43,48.5,6.3426574910064994
Park-Unfav,NARGP,43,49.0,6.3426574910064994
Park-Unfav,NARGP,43,49.5,6.3426574910064994
Park-Unfav,NARGP,43,50.0,6.3426574910064994
Park-Unfav,NARGP,44,4.5,8.15489540382843
Park-Unfav,NARGP,44,5.0,8.15489540382843
Park-Unfav,NARGP,44,5.5,8.15489540382843
Park-Unfav,NARGP,44,6.5,8.15489540382843
Park-Unfav,NARGP,44,7.0,8.15489540382843
Park-Unfav,NARGP,44,7.5,8.15489540382843
Park-Unfav,NARGP,44,8.5,8.154886228657523
